계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,154760.0,145559.0,139866.0,141953.0,34278.0,35684.0,34771.0,35030.0
Operating Income,3862.0,5084.0,4731.0,5871.0,561.0,1550.0,1472.0,1320.0
Oper.Income(Rep.),3862.0,5084.0,4731.0,nan,561.0,1550.0,1472.0,nan
Net Income,-3187.0,1692.0,-9941.0,2291.0,-797.0,65.0,-9938.0,530.0
Net Income(Contr.),-3246.0,1744.0,-9680.0,2231.0,-908.0,-1.0,-9550.0,583.0
Net Income(Minor.),59.0,-52.0,-261.0,nan,111.0,66.0,-388.0,nan
Total Assets,317036.0,306447.0,390030.0,381499.0,305117.0,309190.0,390030.0,nan
Total Liabilities,206685.0,198082.0,219694.0,216674.0,198619.0,202703.0,219694.0,nan
Total Equity,110351.0,108365.0,170336.0,164825.0,106498.0,106487.0,170336.0,nan
Net Income(Contr.),95677.0,94935.0,155040.0,148635.0,93459.0,93441.0,155040.0,nan
Net Income(Minor.),14675.0,13429.0,15297.0,16190.0,13039.0,13046.0,15297.0,nan
Capital Stock,1414.0,1414.0,1414.0,1411.0,1414.0,1414.0,1414.0,nan
Total Debt/Equity,187.3,182.79,128.98,131.46,186.5,190.36,128.98,nan
Reserve Ratio,6666.97,6614.56,10863.9,nan,6510.18,6508.9,10863.9,nan
Oper.Income Margin,2.5,3.49,3.38,4.14,1.64,4.34,4.23,3.77
Net Income Margin,-2.1,1.2,-6.92,1.57,-2.65,0.0,-27.47,1.66
ROA,-0.98,0.54,-2.85,0.59,-1.04,0.08,-11.37,0.54
ROE,-3.3,1.83,-7.74,1.47,-3.87,0.0,-30.75,1.5
EPS(KRW),-11473.0,6165.0,-34219.0,7886.0,-3210.0,-4.0,-33759.0,2060.0
BPS(KRW),338348.0,335728.0,548195.0,525556.0,330509.0,330445.0,548195.0,nan
DPS(KRW),3300.0,3800.0,3800.0,3855.0,nan,nan,3800.0,nan
PER,nan,12.17,nan,8.64,nan,nan,nan,nan
PBR,0.27,0.22,0.1,0.13,0.19,0.19,0.1,nan
Issued Shares,28289.0,28289.0,28289.0,nan,28289.0,28289.0,28289.0,nan
Div Yield,3.63,5.07,7.02,nan,nan,nan,7.02,nan
