계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,9222.0,9394.0,9715.0,nan,2469.0,2243.0,2780.0,nan
Operating Income,439.0,277.0,344.0,nan,132.0,67.0,65.0,nan
Oper.Income(Rep.),439.0,277.0,344.0,nan,132.0,67.0,65.0,nan
Net Income,68.0,77.0,169.0,nan,62.0,-21.0,52.0,nan
Net Income(Contr.),80.0,93.0,158.0,nan,58.0,-24.0,52.0,nan
Net Income(Minor.),-12.0,-16.0,11.0,nan,4.0,3.0,-0.0,nan
Total Assets,7014.0,7886.0,7866.0,nan,8426.0,7959.0,7866.0,nan
Total Liabilities,4996.0,5685.0,5590.0,nan,6201.0,5761.0,5590.0,nan
Total Equity,2018.0,2201.0,2277.0,nan,2225.0,2198.0,2277.0,nan
Net Income(Contr.),1849.0,2040.0,2208.0,nan,2162.0,2134.0,2208.0,nan
Net Income(Minor.),169.0,161.0,69.0,nan,63.0,64.0,69.0,nan
Capital Stock,366.0,366.0,366.0,nan,366.0,366.0,366.0,nan
Total Debt/Equity,247.6,258.31,245.55,nan,278.76,262.1,245.55,nan
Reserve Ratio,406.31,459.83,505.68,nan,493.19,485.44,505.68,nan
Oper.Income Margin,4.76,2.95,3.54,nan,5.37,2.99,2.35,nan
Net Income Margin,0.87,0.99,1.63,nan,2.34,-1.06,1.87,nan
ROA,0.95,1.03,2.14,nan,3.03,-1.01,2.61,nan
ROE,4.52,4.77,7.45,nan,10.76,-4.41,9.6,nan
EPS(KRW),110.0,127.0,216.0,nan,79.0,-32.0,71.0,nan
BPS(KRW),2532.0,2799.0,3028.0,nan,2966.0,2927.0,3028.0,nan
DPS(KRW),10.0,nan,nan,nan,nan,nan,nan,nan
PER,11.14,16.66,6.3,nan,nan,nan,nan,nan
PBR,0.48,0.75,0.45,nan,0.63,0.63,0.45,nan
Issued Shares,73233.0,73233.0,73233.0,nan,73233.0,73233.0,73233.0,nan
Div Yield,0.82,nan,nan,nan,nan,nan,nan,nan
