계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,249.0,273.0,357.0,nan,nan,nan,nan,nan
Operating Income,14.0,34.0,41.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),14.0,34.0,41.0,nan,nan,nan,0.0,nan
Net Income,13.0,48.0,60.0,nan,nan,nan,nan,nan
Net Income(Contr.),13.0,48.0,60.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,443.0,458.0,601.0,nan,nan,nan,601.0,nan
Total Liabilities,140.0,108.0,183.0,nan,nan,nan,183.0,nan
Total Equity,303.0,351.0,418.0,nan,nan,nan,418.0,nan
Net Income(Contr.),303.0,351.0,418.0,nan,nan,nan,418.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,68.0,68.0,70.0,nan,nan,nan,70.0,nan
Total Debt/Equity,46.27,30.66,43.66,nan,nan,nan,43.66,nan
Reserve Ratio,347.48,418.24,499.63,nan,nan,nan,499.63,nan
Oper.Income Margin,5.63,12.5,11.43,nan,nan,nan,nan,nan
Net Income Margin,5.15,17.56,16.92,nan,nan,nan,nan,nan
ROA,3.24,10.64,11.41,nan,nan,nan,nan,nan
ROE,4.34,14.67,15.71,nan,nan,nan,nan,nan
EPS(KRW),95.0,354.0,433.0,nan,nan,nan,0.0,nan
BPS(KRW),2237.0,2591.0,2998.0,nan,nan,nan,2998.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,26.39,6.51,7.05,nan,nan,nan,nan,nan
PBR,1.12,0.89,1.02,nan,nan,nan,1.02,nan
Issued Shares,13541.0,13541.0,14000.0,nan,nan,nan,14000.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
