계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,7294.0,8090.0,9023.0,9540.0,2627.0,2114.0,1864.0,1827.0
Operating Income,848.0,118.0,-644.0,-106.0,30.0,-317.0,-401.0,-168.0
Oper.Income(Rep.),848.0,118.0,-644.0,nan,30.0,-317.0,-401.0,nan
Net Income,490.0,-451.0,288.0,-55.0,80.0,65.0,148.0,-10.0
Net Income(Contr.),438.0,-325.0,63.0,-41.0,54.0,45.0,-24.0,-181.0
Net Income(Minor.),52.0,-126.0,225.0,nan,27.0,21.0,172.0,nan
Total Assets,24303.0,23922.0,22820.0,25546.0,23382.0,23567.0,22820.0,nan
Total Liabilities,4402.0,4264.0,3801.0,6059.0,5556.0,5144.0,3801.0,nan
Total Equity,19901.0,19658.0,19020.0,19487.0,17827.0,18423.0,19020.0,nan
Net Income(Contr.),14599.0,14335.0,13336.0,14564.0,13166.0,13677.0,13336.0,nan
Net Income(Minor.),5302.0,5323.0,5683.0,4923.0,4660.0,4746.0,5683.0,nan
Capital Stock,231.0,231.0,231.0,241.0,231.0,231.0,231.0,nan
Total Debt/Equity,22.12,21.69,19.98,31.09,31.17,27.92,19.98,nan
Reserve Ratio,6232.16,6117.61,5684.45,nan,5610.75,5832.14,5684.45,nan
Oper.Income Margin,11.62,1.46,-7.14,-1.11,1.15,-15.01,-21.49,-9.21
Net Income Margin,6.01,-4.02,0.7,-0.43,2.05,2.11,-1.31,-9.91
ROA,2.34,-1.87,1.23,-0.23,1.32,1.11,2.55,-0.18
ROE,3.58,-2.25,0.46,-0.29,1.56,1.33,-0.72,-5.43
EPS(KRW),950.0,-706.0,137.0,-79.0,117.0,97.0,-53.0,-352.0
BPS(KRW),31661.0,31088.0,28922.0,27813.0,28554.0,29661.0,28922.0,nan
DPS(KRW),300.0,200.0,nan,240.0,nan,nan,nan,nan
PER,54.6,nan,172.76,nan,nan,nan,nan,nan
PBR,1.64,1.35,0.82,0.79,1.85,1.39,0.82,nan
Issued Shares,46111.0,46111.0,46111.0,nan,46111.0,46111.0,46111.0,nan
Div Yield,0.58,0.48,nan,nan,nan,nan,nan,nan
