계정,2023/11,2024/05,2024/11,2025/05(E),2024/05,2024/08,2024/11,2025/02(E)
Sales,146.0,36.0,146.0,nan,nan,nan,nan,nan
Operating Income,128.0,32.0,70.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),128.0,32.0,70.0,nan,0.0,nan,0.0,nan
Net Income,128.0,34.0,71.0,nan,nan,nan,nan,nan
Net Income(Contr.),128.0,34.0,71.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1106.0,1065.0,1126.0,nan,1065.0,nan,1126.0,nan
Total Liabilities,3.0,3.0,20.0,nan,3.0,nan,20.0,nan
Total Equity,1103.0,1062.0,1106.0,nan,1062.0,nan,1106.0,nan
Net Income(Contr.),1103.0,1062.0,1106.0,nan,1062.0,nan,1106.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,nan,0.0,nan
Capital Stock,93.0,93.0,93.0,nan,93.0,nan,93.0,nan
Total Debt/Equity,0.26,0.24,1.8,nan,0.24,nan,1.8,nan
Reserve Ratio,1081.94,1038.25,1085.81,nan,1038.25,nan,1085.81,nan
Oper.Income Margin,87.81,88.64,47.97,nan,nan,nan,nan,nan
Net Income Margin,87.35,94.91,48.18,nan,nan,nan,nan,nan
ROA,12.13,3.12,6.44,nan,nan,nan,nan,nan
ROE,12.16,3.13,6.5,nan,nan,nan,nan,nan
EPS(KRW),685.0,182.0,378.0,nan,0.0,nan,0.0,nan
BPS(KRW),5910.0,5691.0,5929.0,nan,5691.0,nan,5929.0,nan
DPS(KRW),531.0,140.0,658.0,nan,140.0,nan,658.0,nan
PER,6.12,23.77,11.26,nan,nan,nan,nan,nan
PBR,0.71,0.76,0.72,nan,0.76,nan,0.72,nan
Issued Shares,18660.0,18660.0,18660.0,nan,18660.0,nan,18660.0,nan
Div Yield,12.67,3.24,15.46,nan,3.24,nan,15.46,nan
