계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,35882.0,34256.0,33183.0,nan,8163.0,7842.0,8157.0,nan
Operating Income,563.0,511.0,448.0,nan,102.0,99.0,124.0,nan
Oper.Income(Rep.),563.0,511.0,448.0,nan,102.0,99.0,124.0,nan
Net Income,291.0,243.0,343.0,nan,87.0,74.0,107.0,nan
Net Income(Contr.),222.0,151.0,270.0,nan,70.0,55.0,87.0,nan
Net Income(Minor.),69.0,92.0,74.0,nan,17.0,19.0,20.0,nan
Total Assets,12250.0,13737.0,12800.0,nan,13103.0,12274.0,12800.0,nan
Total Liabilities,8148.0,9733.0,8653.0,nan,9106.0,8251.0,8653.0,nan
Total Equity,4102.0,4004.0,4147.0,nan,3998.0,4022.0,4147.0,nan
Net Income(Contr.),3579.0,3435.0,3599.0,nan,3487.0,3494.0,3599.0,nan
Net Income(Minor.),522.0,569.0,548.0,nan,510.0,529.0,548.0,nan
Capital Stock,182.0,182.0,182.0,nan,182.0,182.0,182.0,nan
Total Debt/Equity,198.64,243.11,208.65,nan,227.78,205.13,208.65,nan
Reserve Ratio,2002.89,1923.41,2013.63,nan,1952.18,1955.6,2013.63,nan
Oper.Income Margin,1.57,1.49,1.35,nan,1.25,1.26,1.52,nan
Net Income Margin,0.62,0.44,0.81,nan,0.85,0.7,1.07,nan
ROA,2.48,1.87,2.59,nan,2.63,2.33,3.41,nan
ROE,6.16,4.31,7.66,nan,7.99,6.31,9.85,nan
EPS(KRW),665.0,453.0,806.0,nan,208.0,165.0,261.0,nan
BPS(KRW),11428.0,10996.0,11486.0,nan,11152.0,11171.0,11486.0,nan
DPS(KRW),600.0,600.0,600.0,nan,150.0,150.0,150.0,nan
PER,15.19,18.98,9.92,nan,nan,nan,nan,nan
PBR,0.88,0.78,0.7,nan,0.78,0.75,0.7,nan
Issued Shares,33429.0,33429.0,33429.0,nan,33429.0,33429.0,33429.0,nan
Div Yield,5.94,6.98,7.5,nan,1.73,1.78,1.88,nan
