계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,834673.0,822627.0,877282.0,908139.0,216944.0,221764.0,227615.0,227447.0
Operating Income,35510.0,36533.0,34197.0,35504.0,11961.0,7519.0,1362.0,12590.0
Oper.Income(Rep.),35510.0,36533.0,34197.0,nan,11961.0,7519.0,1362.0,12590.0
Net Income,18631.0,11506.0,5914.0,17418.0,6295.0,902.0,-7138.0,nan
Net Income(Contr.),11964.0,7129.0,3675.0,13785.0,5591.0,486.0,-7149.0,nan
Net Income(Minor.),6667.0,4377.0,2239.0,nan,704.0,417.0,11.0,nan
Total Assets,551561.0,602408.0,656296.0,650746.0,631259.0,643219.0,656296.0,nan
Total Liabilities,326641.0,367423.0,404179.0,389950.0,378806.0,399026.0,404179.0,nan
Total Equity,224920.0,234985.0,252117.0,260796.0,252454.0,244193.0,252117.0,nan
Net Income(Contr.),189921.0,196648.0,209948.0,217724.0,212168.0,204282.0,209948.0,nan
Net Income(Minor.),34999.0,38338.0,42169.0,43073.0,40285.0,39911.0,42169.0,nan
Capital Stock,9042.0,9042.0,9042.0,9040.0,9042.0,9042.0,9042.0,nan
Total Debt/Equity,145.23,156.36,160.31,149.52,150.05,163.41,160.31,nan
Reserve Ratio,2005.47,2079.86,2226.96,nan,2251.52,2164.3,2226.96,nan
Oper.Income Margin,4.25,4.44,3.9,3.91,5.51,3.39,0.6,nan
Net Income Margin,1.43,0.87,0.42,1.52,2.58,0.22,-3.14,nan
ROA,3.43,1.99,0.94,2.67,4.05,0.57,-4.39,nan
ROE,6.61,3.69,1.81,6.45,10.72,0.93,-13.81,nan
EPS(KRW),6616.0,3942.0,2032.0,7623.0,3092.0,269.0,-3953.0,nan
BPS(KRW),105273.0,108993.0,116348.0,120648.0,117576.0,113215.0,116348.0,nan
DPS(KRW),700.0,800.0,1000.0,1260.0,500.0,nan,500.0,nan
PER,13.07,25.82,41.09,9.23,nan,nan,nan,nan
PBR,0.82,0.93,0.72,0.58,0.94,0.92,0.72,nan
Issued Shares,163648.0,163648.0,163648.0,nan,163648.0,163648.0,163648.0,nan
Div Yield,0.81,0.79,1.2,nan,0.45,nan,0.6,nan
