계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,255986.0,337455.0,256196.0,276255.0,61619.0,68778.0,64512.0,62650.0
Operating Income,12137.0,14864.0,-9046.0,17101.0,-2525.0,-177.0,-6028.0,3747.0
Oper.Income(Rep.),12137.0,21632.0,5754.0,nan,1953.0,4483.0,-2255.0,3747.0
Net Income,7798.0,16380.0,3386.0,12968.0,-237.0,5613.0,-4110.0,nan
Net Income(Contr.),7672.0,12372.0,-10187.0,4159.0,-4718.0,1332.0,-6797.0,nan
Net Income(Minor.),126.0,4008.0,13573.0,nan,4480.0,4282.0,2686.0,nan
Total Assets,382994.0,454371.0,603068.0,647043.0,515012.0,566271.0,603068.0,nan
Total Liabilities,177057.0,210636.0,293402.0,330941.0,238694.0,281295.0,293402.0,nan
Total Equity,205938.0,243735.0,309665.0,316102.0,276318.0,284976.0,309665.0,nan
Net Income(Contr.),187322.0,202006.0,211162.0,217324.0,206487.0,202169.0,211162.0,nan
Net Income(Minor.),18615.0,41729.0,98503.0,98778.0,69831.0,82808.0,98503.0,nan
Capital Stock,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,nan
Total Debt/Equity,85.98,86.42,94.75,104.69,86.38,98.71,94.75,nan
Reserve Ratio,15910.44,17165.51,17948.07,nan,17548.5,17179.36,17948.07,nan
Oper.Income Margin,4.74,4.4,-3.53,6.19,-4.1,-0.26,-9.34,nan
Net Income Margin,3.0,3.67,-3.98,1.51,-7.66,1.94,-10.54,nan
ROA,2.51,3.91,0.64,2.07,-0.19,4.15,-2.81,nan
ROE,5.75,6.36,-4.93,1.94,-9.13,2.61,-13.15,nan
EPS(KRW),3306.0,5287.0,-4354.0,1777.0,-2016.0,569.0,-2905.0,nan
BPS(KRW),80052.0,86328.0,90240.0,92874.0,88243.0,86397.0,90240.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,131.71,80.86,nan,187.06,nan,nan,nan,nan
PBR,5.44,4.95,3.86,3.58,3.7,4.8,3.86,nan
Issued Shares,234000.0,234000.0,234000.0,nan,234000.0,234000.0,234000.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
