계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,888.0,925.0,1025.0,1238.0,278.0,249.0,240.0,nan
Operating Income,-57.0,-89.0,-135.0,20.0,-22.0,-33.0,-59.0,nan
Oper.Income(Rep.),-57.0,-89.0,-135.0,nan,-22.0,-33.0,-59.0,nan
Net Income,-82.0,-116.0,-146.0,1.0,-27.0,-39.0,-25.0,nan
Net Income(Contr.),-61.0,-62.0,-117.0,8.0,-25.0,-22.0,-16.0,nan
Net Income(Minor.),-21.0,-55.0,-29.0,nan,-3.0,-17.0,-9.0,nan
Total Assets,1850.0,1887.0,1991.0,1709.0,2071.0,2006.0,1991.0,nan
Total Liabilities,1015.0,1015.0,1106.0,1015.0,1151.0,1128.0,1106.0,nan
Total Equity,835.0,872.0,885.0,694.0,920.0,878.0,885.0,nan
Net Income(Contr.),513.0,714.0,688.0,583.0,753.0,727.0,688.0,nan
Net Income(Minor.),322.0,158.0,197.0,111.0,168.0,150.0,197.0,nan
Capital Stock,57.0,57.0,58.0,58.0,58.0,58.0,58.0,nan
Total Debt/Equity,121.54,116.46,124.92,146.25,125.03,128.51,124.92,nan
Reserve Ratio,1025.41,1391.62,1273.0,nan,1384.88,1341.35,1273.0,nan
Oper.Income Margin,-6.39,-9.63,-13.13,1.62,-7.98,-13.1,-24.7,nan
Net Income Margin,-6.87,-6.68,-11.37,0.65,-8.86,-8.78,-6.78,nan
ROA,-4.54,-6.23,-7.52,0.05,-5.42,-7.58,-5.05,nan
ROE,-10.74,-10.07,-16.62,1.26,-13.02,-11.83,-9.2,nan
EPS(KRW),-536.0,-542.0,-1008.0,69.0,-213.0,-189.0,-140.0,nan
BPS(KRW),5627.0,7458.0,6865.0,5951.0,7424.0,7207.0,6865.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,315.32,nan,nan,nan,nan
PBR,1.56,1.98,3.37,3.65,2.43,1.98,3.37,nan
Issued Shares,11376.0,11408.0,11608.0,nan,11601.0,11604.0,11608.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
