계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Operating Revenue,98.0,97.0,91.0,nan,13.0,13.0,53.0,nan
Operating Income,44.0,34.0,42.0,nan,3.0,5.0,30.0,nan
Oper.Income(Rep.),44.0,34.0,42.0,nan,3.0,5.0,30.0,nan
Net Income,35.0,37.0,34.0,nan,3.0,4.0,24.0,nan
Net Income(Contr.),35.0,37.0,34.0,nan,3.0,4.0,24.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,661.0,668.0,700.0,nan,663.0,668.0,700.0,nan
Total Liabilities,115.0,104.0,108.0,nan,99.0,100.0,108.0,nan
Total Equity,546.0,564.0,592.0,nan,564.0,568.0,592.0,nan
Net Income(Contr.),546.0,564.0,592.0,nan,564.0,568.0,592.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,68.0,68.0,68.0,nan,68.0,68.0,68.0,nan
Total Debt/Equity,21.12,18.45,18.19,nan,17.58,17.55,18.19,nan
Reserve Ratio,755.92,804.32,845.41,nan,804.62,810.8,845.41,nan
Oper.Income Margin,45.38,35.17,46.29,nan,22.82,42.45,57.84,nan
Net Income Margin,35.74,38.04,36.96,nan,20.53,33.2,45.0,nan
ROA,5.36,5.53,4.91,nan,1.59,2.54,13.85,nan
ROE,6.49,6.63,5.81,nan,1.88,2.98,16.33,nan
EPS(KRW),255.0,269.0,245.0,nan,19.0,31.0,173.0,nan
BPS(KRW),4280.0,4522.0,4727.0,nan,4523.0,4554.0,4727.0,nan
DPS(KRW),28.0,43.0,79.0,nan,nan,nan,79.0,nan
PER,15.73,18.08,16.42,nan,nan,nan,nan,nan
PBR,0.94,1.07,0.85,nan,1.32,0.97,0.85,nan
Issued Shares,13692.0,13692.0,13692.0,nan,13692.0,13692.0,13692.0,nan
Div Yield,0.7,0.89,1.96,nan,nan,nan,1.96,nan
