계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,64,121,143.0,nan,nan,nan,nan,nan
Operating Income,-24,-30,-12.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-24,-30,-12.0,nan,nan,nan,0.0,nan
Net Income,-244,-59,-11.0,nan,nan,nan,nan,nan
Net Income(Contr.),-244,-59,-11.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,233,467,720.0,nan,nan,nan,720.0,nan
Total Liabilities,562,145,110.0,nan,nan,nan,110.0,nan
Total Equity,-329,322,610.0,nan,nan,nan,610.0,nan
Net Income(Contr.),-329,322,610.0,nan,nan,nan,610.0,nan
Net Income(Minor.),0,0,0.0,nan,nan,nan,0.0,nan
Capital Stock,14,73,89.0,nan,nan,nan,89.0,nan
Total Debt/Equity,Completely Impaired capital,45.16,18.1,nan,nan,nan,18.1,nan
Reserve Ratio,nan,338.04,587.92,nan,nan,nan,587.92,nan
Oper.Income Margin,-37.96,-24.93,-8.42,nan,nan,nan,nan,nan
Net Income Margin,-383.51,-48.82,-8.02,nan,nan,nan,nan,nan
ROA,N/A(IFRS),-16.92,-1.93,nan,nan,nan,nan,nan
ROE,N/A(IFRS),Completely Impaired capital,-2.46,nan,nan,nan,nan,nan
EPS(KRW),-1976,-424,-75.0,nan,nan,nan,0.0,nan
BPS(KRW),-2523,2190,3440.0,nan,nan,nan,3440.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,nan,nan,3.01,nan,nan,nan,3.01,nan
Issued Shares,8455,14683,17728.0,nan,nan,nan,17728.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
