계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1745.0,1783.0,1639.0,nan,nan,nan,nan,nan
Operating Income,47.0,65.0,49.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),47.0,65.0,49.0,nan,nan,nan,0.0,nan
Net Income,-10.0,131.0,380.0,nan,nan,nan,nan,nan
Net Income(Contr.),-10.0,131.0,380.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,2327.0,2453.0,2985.0,nan,nan,nan,2985.0,nan
Total Liabilities,197.0,221.0,401.0,nan,nan,nan,401.0,nan
Total Equity,2130.0,2233.0,2583.0,nan,nan,nan,2583.0,nan
Net Income(Contr.),2130.0,2233.0,2583.0,nan,nan,nan,2583.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,125.0,125.0,125.0,nan,nan,nan,125.0,nan
Total Debt/Equity,9.23,9.89,15.53,nan,nan,nan,15.53,nan
Reserve Ratio,1604.07,1686.13,1966.7,nan,nan,nan,1966.7,nan
Oper.Income Margin,2.67,3.62,2.97,nan,nan,nan,nan,nan
Net Income Margin,-0.55,7.35,23.16,nan,nan,nan,nan,nan
ROA,-0.41,5.48,13.96,nan,nan,nan,nan,nan
ROE,-0.45,6.01,15.76,nan,nan,nan,nan,nan
EPS(KRW),-383.0,5241.0,15182.0,nan,nan,nan,0.0,nan
BPS(KRW),85204.0,89307.0,103335.0,nan,nan,nan,103335.0,nan
DPS(KRW),1000.0,1000.0,1000.0,nan,nan,nan,1000.0,nan
PER,nan,4.76,1.69,nan,nan,nan,nan,nan
PBR,0.3,0.28,0.25,nan,nan,nan,0.25,nan
Issued Shares,2500.0,2500.0,2500.0,nan,nan,nan,2500.0,nan
Div Yield,3.92,4.01,3.91,nan,nan,nan,3.91,nan
