계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1481.0,1116.0,1624.0,nan,607.0,435.0,290.0,nan
Operating Income,69.0,-221.0,-165.0,nan,9.0,-56.0,-89.0,nan
Oper.Income(Rep.),69.0,-221.0,-165.0,nan,9.0,-56.0,-89.0,nan
Net Income,272.0,793.0,-516.0,nan,-198.0,-258.0,-290.0,nan
Net Income(Contr.),272.0,793.0,-516.0,nan,-198.0,-258.0,-290.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,3092.0,4042.0,3488.0,nan,4119.0,3761.0,3488.0,nan
Total Liabilities,1030.0,930.0,921.0,nan,991.0,898.0,921.0,nan
Total Equity,2062.0,3113.0,2567.0,nan,3127.0,2863.0,2567.0,nan
Net Income(Contr.),2062.0,3113.0,2567.0,nan,3127.0,2863.0,2567.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,395.0,464.0,464.0,nan,464.0,464.0,464.0,nan
Total Debt/Equity,49.93,29.86,35.88,nan,31.69,31.38,35.88,nan
Reserve Ratio,444.54,590.64,472.91,nan,593.78,536.75,472.91,nan
Oper.Income Margin,4.63,-19.76,-10.17,nan,1.42,-12.82,-30.74,nan
Net Income Margin,18.38,71.03,-31.78,nan,-32.64,-59.38,-99.72,nan
ROA,9.25,22.23,-13.7,nan,-18.71,-26.23,-31.95,nan
ROE,14.09,30.65,-18.17,nan,-24.57,-34.5,-42.66,nan
EPS(KRW),344.0,855.0,-556.0,nan,-214.0,-279.0,-312.0,nan
BPS(KRW),2723.0,3453.0,2865.0,nan,3469.0,3184.0,2865.0,nan
DPS(KRW),20.0,20.0,20.0,nan,nan,nan,20.0,nan
PER,5.57,2.81,nan,nan,nan,nan,nan,nan
PBR,0.71,0.7,0.68,nan,1.05,0.82,0.68,nan
Issued Shares,78990.0,92716.0,92716.0,nan,92716.0,92716.0,92716.0,nan
Div Yield,1.04,0.83,1.03,nan,nan,nan,1.03,nan
