계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,587.0,724.0,819.0,nan,nan,nan,nan,nan
Operating Income,53.0,82.0,86.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),53.0,82.0,86.0,nan,nan,nan,0.0,nan
Net Income,50.0,108.0,103.0,nan,nan,nan,nan,nan
Net Income(Contr.),50.0,108.0,103.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1362.0,1495.0,1665.0,nan,nan,nan,1665.0,nan
Total Liabilities,118.0,150.0,228.0,nan,nan,nan,228.0,nan
Total Equity,1245.0,1345.0,1437.0,nan,nan,nan,1437.0,nan
Net Income(Contr.),1245.0,1345.0,1437.0,nan,nan,nan,1437.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,83.0,83.0,83.0,nan,nan,nan,83.0,nan
Total Debt/Equity,9.46,11.16,15.84,nan,nan,nan,15.84,nan
Reserve Ratio,1479.48,1592.77,1702.8,nan,nan,nan,1702.8,nan
Oper.Income Margin,8.96,11.3,10.49,nan,nan,nan,nan,nan
Net Income Margin,8.54,14.86,12.59,nan,nan,nan,nan,nan
ROA,3.63,7.53,6.53,nan,nan,nan,nan,nan
ROE,3.99,8.31,7.41,nan,nan,nan,nan,nan
EPS(KRW),308.0,666.0,638.0,nan,nan,nan,0.0,nan
BPS(KRW),8099.0,8680.0,9244.0,nan,nan,nan,9244.0,nan
DPS(KRW),100.0,100.0,nan,nan,nan,nan,nan,nan
PER,20.4,7.99,9.56,nan,nan,nan,nan,nan
PBR,0.78,0.61,0.66,nan,nan,nan,0.66,nan
Issued Shares,16153.0,16153.0,16153.0,nan,nan,nan,16153.0,nan
Div Yield,1.59,1.88,nan,nan,nan,nan,nan,nan
