계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Net Operating Revenue,3853.0,5099.0,5132.0,nan,1081.0,1225.0,1164.0,nan
Operating Income,433.0,1291.0,948.0,nan,119.0,182.0,226.0,nan
Oper.Income(Rep.),433.0,1291.0,948.0,nan,119.0,182.0,226.0,nan
Net Income,451.0,644.0,731.0,nan,69.0,209.0,111.0,nan
Net Income(Contr.),451.0,644.0,731.0,nan,69.0,209.0,111.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,134199.0,164618.0,168003.0,nan,153817.0,165773.0,168003.0,nan
Total Liabilities,118628.0,148604.0,151660.0,nan,137869.0,149725.0,151660.0,nan
Total Equity,15571.0,16015.0,16343.0,nan,15948.0,16048.0,16343.0,nan
Net Income(Contr.),15571.0,16015.0,16343.0,nan,15948.0,16048.0,16343.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,10625.0,10625.0,10625.0,nan,10625.0,10625.0,10625.0,nan
Total Debt/Equity,761.84,927.91,927.97,nan,864.49,932.96,927.97,nan
Reserve Ratio,51.87,56.05,59.14,nan,55.42,56.37,59.14,nan
Oper.Income Margin,1.75,4.52,3.49,nan,2.01,2.71,3.23,nan
Net Income Margin,1.82,2.26,2.69,nan,1.16,3.11,1.59,nan
ROA,0.32,0.43,0.44,nan,0.18,0.52,0.27,nan
ROE,2.92,4.08,4.52,nan,1.73,5.22,2.75,nan
EPS(KRW),212.0,303.0,344.0,nan,32.0,98.0,52.0,nan
BPS(KRW),7594.0,7803.0,7957.0,nan,7771.0,7818.0,7957.0,nan
DPS(KRW),110.0,180.0,200.0,nan,nan,nan,200.0,nan
PER,11.29,8.41,7.65,nan,nan,nan,nan,nan
PBR,0.32,0.33,0.33,nan,0.37,0.37,0.33,nan
Issued Shares,199597.0,199597.0,199597.0,nan,199597.0,199597.0,199597.0,nan
Div Yield,4.59,7.06,7.6,nan,nan,nan,7.6,nan
