계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,468.0,363.0,324.0,nan,90.0,79.0,79.0,nan
Operating Income,-322.0,-174.0,-72.0,nan,-25.0,-8.0,-22.0,nan
Oper.Income(Rep.),-322.0,-174.0,-72.0,nan,-25.0,-8.0,-22.0,nan
Net Income,-1121.0,375.0,-241.0,nan,-189.0,-6.0,-25.0,nan
Net Income(Contr.),-1025.0,360.0,-233.0,nan,-183.0,-5.0,-24.0,nan
Net Income(Minor.),-96.0,16.0,-8.0,nan,-6.0,-1.0,-1.0,nan
Total Assets,2463.0,1517.0,1409.0,nan,1345.0,1347.0,1409.0,nan
Total Liabilities,1588.0,430.0,410.0,nan,453.0,358.0,410.0,nan
Total Equity,875.0,1086.0,998.0,nan,891.0,989.0,998.0,nan
Net Income(Contr.),641.0,1027.0,918.0,nan,841.0,939.0,918.0,nan
Net Income(Minor.),233.0,59.0,80.0,nan,50.0,50.0,80.0,nan
Capital Stock,1070.0,27.0,30.0,nan,28.0,30.0,30.0,nan
Total Debt/Equity,181.58,39.63,41.12,nan,50.87,36.2,41.12,nan
Reserve Ratio,nan,3926.7,3204.89,nan,3200.41,3284.29,3204.89,nan
Oper.Income Margin,-68.76,-48.06,-22.09,nan,-27.68,-10.47,-28.32,nan
Net Income Margin,-218.98,99.1,-71.82,nan,-203.17,-6.64,-30.43,nan
ROA,-46.24,18.87,-16.49,nan,-52.99,-1.88,-7.27,nan
ROE,-114.46,43.12,-23.95,nan,-78.77,-2.37,-10.37,nan
EPS(KRW),-22416.0,6323.0,-3963.0,nan,-3154.0,-90.0,-401.0,nan
BPS(KRW),14343.0,19297.0,16524.0,nan,15825.0,16921.0,16524.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,1.7,nan,nan,nan,nan,nan,nan
PBR,1.33,0.56,0.65,nan,0.68,0.64,0.65,nan
Issued Shares,4758.0,5475.0,6010.0,nan,5550.0,5995.0,6010.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
