계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,352.0,268.0,305.0,nan,67.0,79.0,93.0,nan
Operating Income,44.0,-22.0,6.0,nan,0.0,2.0,5.0,nan
Oper.Income(Rep.),44.0,-22.0,6.0,nan,0.0,2.0,5.0,nan
Net Income,47.0,-37.0,36.0,nan,5.0,-3.0,28.0,nan
Net Income(Contr.),47.0,-37.0,36.0,nan,5.0,-3.0,28.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,633.0,586.0,790.0,nan,773.0,786.0,790.0,nan
Total Liabilities,56.0,50.0,50.0,nan,54.0,67.0,50.0,nan
Total Equity,576.0,536.0,740.0,nan,719.0,720.0,740.0,nan
Net Income(Contr.),576.0,536.0,740.0,nan,719.0,720.0,740.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,134.0,134.0,161.0,nan,161.0,161.0,161.0,nan
Total Debt/Equity,9.76,9.3,6.77,nan,7.56,9.26,6.77,nan
Reserve Ratio,330.09,299.83,360.88,nan,347.8,348.23,360.88,nan
Oper.Income Margin,12.45,-8.31,2.04,nan,0.24,2.92,4.94,nan
Net Income Margin,13.25,-13.71,11.77,nan,7.99,-3.49,29.88,nan
ROA,7.42,-6.04,5.21,nan,3.15,-1.42,14.03,nan
ROE,8.48,-6.61,5.62,nan,3.41,-1.54,15.15,nan
EPS(KRW),174.0,-137.0,119.0,nan,18.0,-9.0,86.0,nan
BPS(KRW),2150.0,1999.0,2304.0,nan,2239.0,2241.0,2304.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,34.19,nan,27.28,nan,nan,nan,nan,nan
PBR,2.77,1.86,1.41,nan,1.53,1.42,1.41,nan
Issued Shares,26808.0,26808.0,32110.0,nan,32110.0,32110.0,32110.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
