계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,76.0,133.0,115.0,nan,nan,nan,nan,nan
Operating Income,-32.0,-17.0,-33.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-32.0,-17.0,-33.0,nan,nan,nan,0.0,nan
Net Income,-50.0,-29.0,-49.0,nan,nan,nan,nan,nan
Net Income(Contr.),-50.0,-29.0,-49.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,798.0,795.0,779.0,nan,nan,nan,779.0,nan
Total Liabilities,345.0,371.0,405.0,nan,nan,nan,405.0,nan
Total Equity,453.0,424.0,374.0,nan,nan,nan,374.0,nan
Net Income(Contr.),453.0,424.0,374.0,nan,nan,nan,374.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,214.0,214.0,214.0,nan,nan,nan,214.0,nan
Total Debt/Equity,76.12,87.59,108.17,nan,nan,nan,108.17,nan
Reserve Ratio,119.13,105.49,82.41,nan,nan,nan,82.41,nan
Oper.Income Margin,-41.58,-12.52,-28.6,nan,nan,nan,nan,nan
Net Income Margin,-65.84,-22.02,-43.04,nan,nan,nan,nan,nan
ROA,-6.2,-3.67,-6.28,nan,nan,nan,nan,nan
ROE,-10.5,-6.66,-12.39,nan,nan,nan,nan,nan
EPS(KRW),-117.0,-68.0,-115.0,nan,nan,nan,0.0,nan
BPS(KRW),1096.0,1027.0,912.0,nan,nan,nan,912.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,0.75,0.71,2.08,nan,nan,nan,2.08,nan
Issued Shares,42852.0,42852.0,42852.0,nan,nan,nan,42852.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
