계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,11995.0,14406.0,15706.0,nan,4165.0,3905.0,3931.0,nan
Operating Income,240.0,516.0,543.0,nan,265.0,213.0,-136.0,nan
Oper.Income(Rep.),240.0,516.0,543.0,nan,265.0,213.0,-136.0,nan
Net Income,214.0,298.0,438.0,nan,223.0,131.0,-44.0,nan
Net Income(Contr.),214.0,298.0,438.0,nan,223.0,131.0,-44.0,nan
Net Income(Minor.),-0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Total Assets,8645.0,10375.0,12090.0,nan,11712.0,11505.0,12090.0,nan
Total Liabilities,6007.0,7186.0,8276.0,nan,8055.0,7783.0,8276.0,nan
Total Equity,2638.0,3188.0,3814.0,nan,3657.0,3723.0,3814.0,nan
Net Income(Contr.),2638.0,3188.0,3815.0,nan,3657.0,3723.0,3815.0,nan
Net Income(Minor.),-0.0,-0.0,-0.0,nan,-0.0,-0.0,-0.0,nan
Capital Stock,97.0,114.0,114.0,nan,114.0,114.0,114.0,nan
Total Debt/Equity,227.73,225.38,216.96,nan,220.24,209.07,216.96,nan
Reserve Ratio,2683.96,2750.63,3281.1,nan,3143.54,3200.77,3281.1,nan
Oper.Income Margin,2.0,3.59,3.46,nan,6.36,5.46,-3.46,nan
Net Income Margin,1.78,2.07,2.79,nan,5.35,3.36,-1.11,nan
ROA,2.58,3.13,3.9,nan,7.96,4.52,-1.48,nan
ROE,8.57,10.23,12.52,nan,25.37,14.22,-4.64,nan
EPS(KRW),1105.0,1311.0,1916.0,nan,974.0,573.0,-191.0,nan
BPS(KRW),13920.0,14253.0,16906.0,nan,16218.0,16504.0,16906.0,nan
DPS(KRW),50.0,50.0,50.0,nan,nan,nan,50.0,nan
PER,4.53,4.52,2.2,nan,nan,nan,nan,nan
PBR,0.36,0.42,0.25,nan,0.32,0.28,0.25,nan
Issued Shares,19332.0,22742.0,22877.0,nan,22877.0,22877.0,22877.0,nan
Div Yield,1.0,0.84,1.18,nan,nan,nan,1.18,nan
