계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1338.0,1176.0,1076.0,nan,253.0,279.0,269.0,nan
Operating Income,21.0,-167.0,-19.0,nan,-13.0,15.0,6.0,nan
Oper.Income(Rep.),21.0,-167.0,-19.0,nan,-13.0,15.0,6.0,nan
Net Income,8.0,-235.0,-62.0,nan,-25.0,15.0,-20.0,nan
Net Income(Contr.),8.0,-234.0,-58.0,nan,-25.0,15.0,-17.0,nan
Net Income(Minor.),nan,-1.0,-4.0,nan,-0.0,-0.0,-4.0,nan
Total Assets,927.0,919.0,773.0,nan,836.0,836.0,773.0,nan
Total Liabilities,255.0,473.0,386.0,nan,447.0,433.0,386.0,nan
Total Equity,672.0,446.0,387.0,nan,389.0,403.0,387.0,nan
Net Income(Contr.),672.0,441.0,387.0,nan,385.0,400.0,387.0,nan
Net Income(Minor.),0.0,4.0,0.0,nan,4.0,4.0,0.0,nan
Capital Stock,64.0,64.0,64.0,nan,64.0,64.0,64.0,nan
Total Debt/Equity,37.85,106.16,99.63,nan,114.92,107.25,99.63,nan
Reserve Ratio,988.88,626.84,543.01,nan,539.3,521.68,543.01,nan
Oper.Income Margin,1.56,-14.2,-1.8,nan,-5.06,5.31,2.13,nan
Net Income Margin,0.61,-19.9,-5.37,nan,-9.68,5.34,-6.15,nan
ROA,0.9,-25.43,-7.34,nan,-11.56,6.99,-9.95,nan
ROE,1.22,-42.03,-13.95,nan,-24.69,15.18,-16.79,nan
EPS(KRW),64.0,-1819.0,-449.0,nan,-191.0,116.0,-128.0,nan
BPS(KRW),5444.0,3634.0,3215.0,nan,3197.0,3108.0,3215.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,63.08,nan,nan,nan,nan,nan,nan,nan
PBR,0.74,1.05,0.77,nan,1.01,0.83,0.77,nan
Issued Shares,12864.0,12864.0,12864.0,nan,12864.0,12864.0,12864.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
