계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,7010.0,6873.0,7327.0,nan,1788.0,2046.0,1704.0,nan
Operating Income,186.0,113.0,97.0,nan,28.0,32.0,12.0,nan
Oper.Income(Rep.),186.0,113.0,97.0,nan,28.0,32.0,12.0,nan
Net Income,68.0,175.0,-27.0,nan,9.0,-15.0,-44.0,nan
Net Income(Contr.),39.0,160.0,-39.0,nan,10.0,-26.0,-53.0,nan
Net Income(Minor.),29.0,15.0,12.0,nan,-1.0,11.0,10.0,nan
Total Assets,4825.0,4880.0,5010.0,nan,5134.0,5090.0,5010.0,nan
Total Liabilities,2723.0,2645.0,2766.0,nan,2839.0,2901.0,2766.0,nan
Total Equity,2102.0,2235.0,2244.0,nan,2295.0,2197.0,2244.0,nan
Net Income(Contr.),1860.0,1995.0,1959.0,nan,2046.0,1946.0,1959.0,nan
Net Income(Minor.),242.0,240.0,285.0,nan,249.0,251.0,285.0,nan
Capital Stock,219.0,219.0,219.0,nan,219.0,219.0,219.0,nan
Total Debt/Equity,129.56,118.37,123.24,nan,123.69,132.06,123.24,nan
Reserve Ratio,752.21,813.67,821.02,nan,837.29,814.79,821.02,nan
Oper.Income Margin,2.65,1.64,1.32,nan,1.56,1.59,0.72,nan
Net Income Margin,0.55,2.32,-0.53,nan,0.55,-1.28,-3.13,nan
ROA,1.39,3.6,-0.54,nan,0.67,-1.19,-3.46,nan
ROE,2.09,8.29,-1.96,nan,1.94,-5.26,-10.95,nan
EPS(KRW),88.0,364.0,-88.0,nan,22.0,-60.0,-122.0,nan
BPS(KRW),4261.0,4568.0,4605.0,nan,4686.0,4574.0,4605.0,nan
DPS(KRW),50.0,50.0,25.0,nan,nan,nan,25.0,nan
PER,18.63,5.1,nan,nan,nan,nan,nan,nan
PBR,0.39,0.41,0.3,nan,0.38,0.35,0.3,nan
Issued Shares,43885.0,43885.0,43885.0,nan,43885.0,43885.0,43885.0,nan
Div Yield,3.04,2.69,1.79,nan,nan,nan,1.79,nan
