계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,379.0,276.0,350.0,nan,72.0,77.0,141.0,nan
Operating Income,13.0,-29.0,9.0,nan,-1.0,-12.0,24.0,nan
Oper.Income(Rep.),13.0,-29.0,9.0,nan,-1.0,-12.0,24.0,nan
Net Income,39.0,-33.0,-4.0,nan,6.0,-17.0,4.0,nan
Net Income(Contr.),39.0,-33.0,-4.0,nan,6.0,-17.0,4.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,490.0,505.0,720.0,nan,701.0,662.0,720.0,nan
Total Liabilities,210.0,178.0,411.0,nan,377.0,356.0,411.0,nan
Total Equity,280.0,326.0,309.0,nan,324.0,306.0,309.0,nan
Net Income(Contr.),280.0,326.0,309.0,nan,324.0,306.0,309.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,33.0,37.0,37.0,nan,37.0,37.0,37.0,nan
Total Debt/Equity,75.18,54.67,133.08,nan,116.48,116.26,133.08,nan
Reserve Ratio,934.01,952.4,906.32,nan,945.38,898.11,906.32,nan
Oper.Income Margin,3.44,-10.38,2.65,nan,-1.38,-15.26,16.92,nan
Net Income Margin,10.21,-11.92,-1.17,nan,8.81,-22.64,3.15,nan
ROA,8.02,-6.62,-0.67,nan,4.21,-10.24,2.57,nan
ROE,14.41,-10.87,-1.29,nan,7.85,-22.17,5.78,nan
EPS(KRW),589.0,-446.0,-55.0,nan,85.0,-236.0,60.0,nan
BPS(KRW),5170.0,5262.0,5032.0,nan,5227.0,4991.0,5032.0,nan
DPS(KRW),150.0,150.0,150.0,nan,nan,nan,150.0,nan
PER,18.69,nan,nan,nan,nan,nan,nan,nan
PBR,2.13,1.54,1.11,nan,1.16,0.95,1.11,nan
Issued Shares,6576.0,7384.0,7384.0,nan,7384.0,7384.0,7384.0,nan
Div Yield,1.36,1.85,2.68,nan,nan,nan,2.68,nan
