계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,804.0,860.0,825.0,nan,215.0,196.0,201.0,nan
Operating Income,9.0,9.0,4.0,nan,2.0,2.0,-1.0,nan
Oper.Income(Rep.),9.0,9.0,4.0,nan,2.0,2.0,-1.0,nan
Net Income,15.0,18.0,8.0,nan,3.0,3.0,3.0,nan
Net Income(Contr.),15.0,18.0,8.0,nan,3.0,3.0,3.0,nan
Net Income(Minor.),-0.0,-0.0,-0.0,nan,-0.0,-0.0,0.0,nan
Total Assets,1055.0,1125.0,1078.0,nan,1137.0,1120.0,1078.0,nan
Total Liabilities,228.0,267.0,215.0,nan,269.0,251.0,215.0,nan
Total Equity,827.0,858.0,863.0,nan,868.0,869.0,863.0,nan
Net Income(Contr.),834.0,865.0,870.0,nan,875.0,876.0,870.0,nan
Net Income(Minor.),-6.0,-7.0,-7.0,nan,-7.0,-7.0,-7.0,nan
Capital Stock,200.0,200.0,200.0,nan,200.0,200.0,200.0,nan
Total Debt/Equity,27.53,31.1,24.86,nan,30.93,28.83,24.86,nan
Reserve Ratio,405.87,421.24,425.85,nan,426.6,426.97,425.85,nan
Oper.Income Margin,1.09,1.09,0.53,nan,0.95,1.15,-0.69,nan
Net Income Margin,1.89,2.08,1.0,nan,1.25,1.42,1.45,nan
ROA,1.37,1.62,0.71,nan,0.89,0.96,1.06,nan
ROE,1.82,2.11,0.95,nan,1.24,1.27,1.34,nan
EPS(KRW),38.0,45.0,21.0,nan,7.0,7.0,7.0,nan
BPS(KRW),2529.0,2606.0,2629.0,nan,2633.0,2635.0,2629.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,89.97,64.18,113.17,nan,nan,nan,nan,nan
PBR,1.35,1.1,0.88,nan,1.22,1.04,0.88,nan
Issued Shares,40000.0,40000.0,40000.0,nan,40000.0,40000.0,40000.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
