계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1352.0,842.0,739.0,nan,nan,nan,nan,nan
Operating Income,163.0,-29.0,-10.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),163.0,-29.0,-10.0,nan,nan,nan,0.0,nan
Net Income,58.0,52.0,6.0,nan,nan,nan,nan,nan
Net Income(Contr.),58.0,52.0,6.0,nan,nan,nan,nan,nan
Net Income(Minor.),0.0,nan,nan,nan,nan,nan,nan,nan
Total Assets,1905.0,1656.0,1619.0,nan,nan,nan,1619.0,nan
Total Liabilities,328.0,106.0,88.0,nan,nan,nan,88.0,nan
Total Equity,1578.0,1550.0,1532.0,nan,nan,nan,1532.0,nan
Net Income(Contr.),1508.0,1550.0,1532.0,nan,nan,nan,1532.0,nan
Net Income(Minor.),70.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,58.0,58.0,58.0,nan,nan,nan,58.0,nan
Total Debt/Equity,20.78,6.82,5.72,nan,nan,nan,5.72,nan
Reserve Ratio,2506.62,2579.08,2549.98,nan,nan,nan,2549.98,nan
Oper.Income Margin,12.06,-3.4,-1.38,nan,nan,nan,nan,nan
Net Income Margin,4.27,6.14,0.85,nan,nan,nan,nan,nan
ROA,3.03,2.91,0.39,nan,nan,nan,nan,nan
ROE,3.92,3.38,0.41,nan,nan,nan,nan,nan
EPS(KRW),499.0,447.0,55.0,nan,nan,nan,0.0,nan
BPS(KRW),13033.0,13395.0,13250.0,nan,nan,nan,13250.0,nan
DPS(KRW),200.0,200.0,100.0,nan,nan,nan,100.0,nan
PER,26.45,53.57,161.78,nan,nan,nan,nan,nan
PBR,1.01,1.79,0.67,nan,nan,nan,0.67,nan
Issued Shares,11572.0,11572.0,11572.0,nan,nan,nan,11572.0,nan
Div Yield,1.52,0.84,1.13,nan,nan,nan,1.13,nan
