계정,2022/03,2023/03,2024/03,2025/03(P),2024/06,2024/09,2024/12,2025/03(P)
Net Operating Revenue,3003.0,2880.0,3582.0,nan,1083.0,872.0,654.0,nan
Operating Income,1213.0,1156.0,1704.0,1378.0,598.0,373.0,178.0,229.0
Oper.Income(Rep.),1213.0,1156.0,1704.0,1378.0,598.0,373.0,178.0,229.0
Net Income,956.0,1044.0,1494.0,1044.0,426.0,301.0,99.0,218.0
Net Income(Contr.),892.0,964.0,1427.0,nan,409.0,290.0,91.0,nan
Net Income(Minor.),64.0,80.0,67.0,nan,17.0,11.0,8.0,nan
Total Assets,110850.0,101988.0,106099.0,nan,104082.0,105736.0,109674.0,nan
Total Liabilities,95924.0,86636.0,89215.0,nan,87160.0,88015.0,91714.0,nan
Total Equity,14926.0,15352.0,16885.0,nan,16922.0,17721.0,17960.0,nan
Net Income(Contr.),14298.0,14644.0,16128.0,nan,16185.0,16972.0,17204.0,nan
Net Income(Minor.),628.0,709.0,756.0,nan,737.0,749.0,756.0,nan
Capital Stock,822.0,822.0,822.0,nan,822.0,822.0,822.0,nan
Total Debt/Equity,642.67,564.32,528.37,nan,515.07,496.67,510.64,nan
Reserve Ratio,1842.81,1902.9,2083.2,nan,2090.08,2185.88,2214.1,nan
Oper.Income Margin,5.74,4.91,6.16,nan,6.94,6.63,2.75,nan
Net Income Margin,4.22,4.1,5.16,nan,4.75,5.15,1.41,nan
ROA,0.91,0.98,1.44,nan,1.62,1.15,0.37,nan
ROE,6.45,6.66,9.27,nan,10.13,6.99,2.14,nan
EPS(KRW),5425.0,5863.0,8677.0,6348.0,2488.0,1763.0,555.0,1325.0
BPS(KRW),97140.0,100145.0,109160.0,nan,109504.0,114294.0,115705.0,nan
DPS(KRW),4000.0,4000.0,4000.0,nan,nan,nan,nan,nan
PER,10.99,9.52,7.21,nan,nan,nan,nan,nan
PBR,0.61,0.56,0.57,nan,0.66,0.69,0.66,nan
Issued Shares,9386.0,9386.0,9435.0,nan,16440.0,16440.0,16440.0,nan
Div Yield,6.71,7.17,6.39,nan,nan,nan,nan,nan
