계정,2023/12,2024/06,2024/12,2025/06(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,594.0,600.0,656.0,nan,nan,nan,nan,nan
Operating Income,361.0,376.0,420.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),361.0,376.0,420.0,nan,0.0,nan,0.0,nan
Net Income,32.0,58.0,106.0,nan,nan,nan,nan,nan
Net Income(Contr.),32.0,58.0,106.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,23137.0,23018.0,26236.0,nan,23018.0,nan,26236.0,nan
Total Liabilities,12582.0,12638.0,14542.0,nan,12638.0,nan,14542.0,nan
Total Equity,10555.0,10381.0,11695.0,nan,10381.0,nan,11695.0,nan
Net Income(Contr.),10555.0,10381.0,11695.0,nan,10381.0,nan,11695.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,nan,0.0,nan
Capital Stock,1215.0,1215.0,1445.0,nan,1215.0,nan,1445.0,nan
Total Debt/Equity,119.21,121.74,124.34,nan,121.74,nan,124.34,nan
Reserve Ratio,768.8,754.49,709.43,nan,754.49,nan,709.43,nan
Oper.Income Margin,60.82,62.64,64.01,nan,nan,nan,nan,nan
Net Income Margin,5.35,9.73,16.17,nan,nan,nan,nan,nan
ROA,0.14,0.25,0.43,nan,nan,nan,nan,nan
ROE,0.3,0.56,0.96,nan,nan,nan,nan,nan
EPS(KRW),13.0,24.0,nan,nan,0.0,nan,nan,nan
BPS(KRW),4344.0,4272.0,nan,nan,4272.0,nan,nan,nan
DPS(KRW),95.0,215.0,nan,nan,215.0,nan,nan,nan
PER,240.53,135.64,nan,nan,nan,nan,nan,nan
PBR,0.72,0.76,nan,nan,0.76,nan,nan,nan
Issued Shares,242969.0,242969.0,nan,nan,242969.0,nan,nan,nan
Div Yield,3.02,6.59,nan,nan,6.59,nan,nan,nan
