계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,747.0,1009.0,1052.0,nan,99.0,332.0,336.0,nan
Operating Income,84.0,81.0,165.0,nan,-16.0,105.0,50.0,nan
Oper.Income(Rep.),84.0,81.0,165.0,nan,-16.0,105.0,50.0,nan
Net Income,100.0,83.0,192.0,nan,-3.0,82.0,77.0,nan
Net Income(Contr.),100.0,83.0,192.0,nan,-3.0,82.0,77.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1308.0,1064.0,1419.0,nan,1190.0,1352.0,1419.0,nan
Total Liabilities,685.0,196.0,260.0,nan,199.0,285.0,260.0,nan
Total Equity,623.0,868.0,1159.0,nan,990.0,1066.0,1159.0,nan
Net Income(Contr.),623.0,868.0,1159.0,nan,990.0,1066.0,1159.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,38.0,43.0,44.0,nan,44.0,44.0,44.0,nan
Total Debt/Equity,110.04,22.62,22.44,nan,20.12,26.75,22.44,nan
Reserve Ratio,1661.24,2023.46,2621.84,nan,2237.66,2410.83,2621.84,nan
Oper.Income Margin,11.2,8.01,15.65,nan,-15.65,31.51,14.76,nan
Net Income Margin,13.39,8.21,18.26,nan,-3.18,24.8,23.03,nan
ROA,9.1,6.98,15.47,nan,-1.07,25.92,22.36,nan
ROE,17.66,11.11,18.96,nan,-1.27,32.02,27.84,nan
EPS(KRW),260.0,191.0,438.0,nan,-7.0,188.0,177.0,nan
BPS(KRW),1761.0,2123.0,2722.0,nan,2338.0,2511.0,2722.0,nan
DPS(KRW),35.0,30.0,60.0,nan,nan,nan,60.0,nan
PER,12.94,41.18,19.95,nan,nan,nan,nan,nan
PBR,1.91,3.7,3.21,nan,5.59,4.6,3.21,nan
Issued Shares,38455.0,43446.0,43869.0,nan,43869.0,43869.0,43869.0,nan
Div Yield,1.04,0.38,0.69,nan,nan,nan,0.69,nan
