계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,256500.0,263763.0,264312.0,276789.0,65464.0,66546.0,65756.0,68451.0
Operating Income,16901.0,16498.0,8095.0,24611.0,4940.0,4641.0,-6551.0,6888.0
Oper.Income(Rep.),16901.0,16498.0,8095.0,nan,4940.0,4641.0,-6551.0,6888.0
Net Income,13877.0,9887.0,4171.0,18244.0,4105.0,3832.0,-7696.0,5668.0
Net Income(Contr.),12625.0,10099.0,4703.0,17007.0,3930.0,3573.0,-6556.0,5398.0
Net Income(Minor.),1252.0,-211.0,-532.0,nan,175.0,258.0,-1140.0,nan
Total Assets,409807.0,427100.0,418800.0,428097.0,431444.0,427504.0,418800.0,nan
Total Liabilities,225660.0,241488.0,238834.0,237755.0,241625.0,235640.0,238834.0,nan
Total Equity,184147.0,185611.0,179965.0,190343.0,189819.0,191864.0,179965.0,nan
Net Income(Contr.),166122.0,167492.0,162107.0,171851.0,171144.0,173043.0,162107.0,nan
Net Income(Minor.),18026.0,18120.0,17858.0,18492.0,18675.0,18821.0,17858.0,nan
Capital Stock,15645.0,15645.0,15645.0,15642.0,15645.0,15645.0,15645.0,nan
Total Debt/Equity,122.54,130.1,132.71,124.91,127.29,122.82,132.71,nan
Reserve Ratio,974.75,996.02,949.92,nan,1007.7,1019.83,949.92,nan
Oper.Income Margin,6.59,6.25,3.06,8.89,7.55,6.97,-9.96,nan
Net Income Margin,4.92,3.83,1.78,6.14,6.0,5.37,-9.97,8.28
ROA,3.55,2.36,0.99,4.31,3.83,3.57,-7.28,nan
ROE,7.99,6.05,2.85,10.19,9.28,8.31,-15.65,nan
EPS(KRW),4835.0,3887.0,1850.0,6748.0,1541.0,1418.0,-2601.0,2142.0
BPS(KRW),64396.0,66498.0,65177.0,69043.0,68764.0,69517.0,65177.0,nan
DPS(KRW),1960.0,1960.0,2000.0,2447.0,500.0,500.0,500.0,600.0
PER,6.99,8.85,23.7,7.71,nan,nan,nan,nan
PBR,0.52,0.52,0.67,0.75,0.54,0.58,0.67,nan
Issued Shares,261112.0,257861.0,252022.0,nan,252022.0,252022.0,252022.0,nan
Div Yield,5.8,5.7,4.56,nan,1.34,1.24,1.14,nan
