계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,2421.0,1963.0,2147.0,2005.0,480.0,492.0,561.0,416.0
Operating Income,830.0,499.0,546.0,442.0,118.0,96.0,151.0,89.0
Oper.Income(Rep.),830.0,499.0,546.0,nan,118.0,96.0,151.0,89.0
Net Income,724.0,576.0,568.0,408.0,139.0,101.0,121.0,13.0
Net Income(Contr.),724.0,576.0,569.0,409.0,140.0,101.0,122.0,13.0
Net Income(Minor.),0.0,-0.0,-2.0,nan,-0.0,-1.0,-1.0,nan
Total Assets,6469.0,7031.0,7509.0,7957.0,7277.0,7381.0,7509.0,nan
Total Liabilities,725.0,792.0,783.0,872.0,773.0,774.0,783.0,nan
Total Equity,5744.0,6239.0,6726.0,7086.0,6504.0,6607.0,6726.0,nan
Net Income(Contr.),5721.0,6217.0,6705.0,7066.0,6483.0,6585.0,6705.0,nan
Net Income(Minor.),22.0,22.0,21.0,20.0,21.0,22.0,21.0,nan
Capital Stock,177.0,177.0,177.0,179.0,177.0,177.0,177.0,nan
Total Debt/Equity,12.62,12.69,11.64,12.3,11.88,11.72,11.64,nan
Reserve Ratio,3625.34,3876.27,4152.93,nan,4026.83,4084.71,4152.93,nan
Oper.Income Margin,34.28,25.42,25.4,22.05,24.56,19.58,26.99,nan
Net Income Margin,29.9,29.35,26.51,20.4,29.07,20.58,21.72,3.05
ROA,11.47,8.53,7.81,5.28,7.66,5.49,6.51,nan
ROE,13.45,9.65,8.81,5.94,8.71,6.19,7.33,nan
EPS(KRW),2050.0,1646.0,1629.0,1180.0,400.0,289.0,349.0,39.0
BPS(KRW),18627.0,20086.0,21484.0,22743.0,20847.0,21139.0,21484.0,nan
DPS(KRW),370.0,300.0,300.0,350.0,nan,nan,300.0,nan
PER,7.44,9.94,8.42,11.57,nan,nan,nan,nan
PBR,0.82,0.81,0.64,0.6,0.8,0.81,0.64,nan
Issued Shares,35311.0,34951.0,34951.0,nan,34951.0,34951.0,34951.0,nan
Div Yield,2.43,1.83,2.19,nan,nan,nan,2.19,nan
