계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,2633.0,2857.0,3643.0,nan,925.0,865.0,980.0,990.0
Operating Income,159.0,172.0,140.0,nan,36.0,33.0,15.0,48.0
Oper.Income(Rep.),159.0,172.0,140.0,nan,36.0,33.0,15.0,48.0
Net Income,289.0,-98.0,155.0,nan,28.0,19.0,54.0,28.0
Net Income(Contr.),286.0,-105.0,149.0,nan,30.0,22.0,46.0,37.0
Net Income(Minor.),3.0,7.0,6.0,nan,-2.0,-3.0,7.0,nan
Total Assets,3521.0,5705.0,7152.0,nan,5779.0,6273.0,7152.0,nan
Total Liabilities,1502.0,1337.0,2213.0,nan,1336.0,1431.0,2213.0,nan
Total Equity,2019.0,4368.0,4939.0,nan,4443.0,4842.0,4939.0,nan
Net Income(Contr.),1988.0,3442.0,4010.0,nan,3516.0,3918.0,4010.0,nan
Net Income(Minor.),32.0,926.0,930.0,nan,927.0,924.0,930.0,nan
Capital Stock,148.0,270.0,314.0,nan,270.0,314.0,314.0,nan
Total Debt/Equity,74.38,30.61,44.81,nan,30.07,29.55,44.81,nan
Reserve Ratio,1259.48,1181.3,1183.9,nan,1208.73,1154.73,1183.9,nan
Oper.Income Margin,6.05,6.02,3.85,nan,3.93,3.77,1.51,nan
Net Income Margin,10.86,-3.68,4.09,nan,3.24,2.53,4.73,2.82
ROA,8.77,-2.13,2.41,nan,1.92,1.25,3.2,nan
ROE,16.11,-3.87,4.0,nan,3.43,2.36,4.68,nan
EPS(KRW),1037.0,-234.0,255.0,nan,55.0,35.0,74.0,59.0
BPS(KRW),6564.0,6407.0,6420.0,nan,6544.0,6274.0,6420.0,nan
DPS(KRW),96.0,70.0,50.0,nan,nan,nan,50.0,nan
PER,4.41,nan,11.1,nan,nan,nan,nan,nan
PBR,0.7,0.7,0.44,nan,0.64,0.58,0.44,nan
Issued Shares,30586.0,54033.0,62767.0,nan,54033.0,62767.0,62767.0,nan
Div Yield,2.11,1.56,1.77,nan,nan,nan,1.77,nan
