계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,13315.0,14909.0,14955.0,16200.0,3781.0,3621.0,3516.0,3909.0
Operating Income,1581.0,2207.0,2162.0,2350.0,581.0,510.0,305.0,590.0
Oper.Income(Rep.),1581.0,2207.0,2162.0,nan,581.0,510.0,305.0,590.0
Net Income,1016.0,1654.0,1404.0,1502.0,471.0,350.0,-48.0,447.0
Net Income(Contr.),828.0,1462.0,1213.0,1429.0,403.0,310.0,-50.0,426.0
Net Income(Minor.),188.0,191.0,191.0,nan,68.0,40.0,2.0,nan
Total Assets,19246.0,18987.0,20208.0,22003.0,19757.0,19711.0,20208.0,nan
Total Liabilities,9154.0,7985.0,7801.0,8161.0,7562.0,7261.0,7801.0,nan
Total Equity,10092.0,11002.0,12408.0,13843.0,12195.0,12450.0,12408.0,nan
Net Income(Contr.),8719.0,9554.0,10849.0,12191.0,10565.0,10792.0,10849.0,nan
Net Income(Minor.),1374.0,1448.0,1559.0,1652.0,1631.0,1658.0,1559.0,nan
Capital Stock,308.0,314.0,320.0,320.0,320.0,320.0,320.0,nan
Total Debt/Equity,90.7,72.57,62.87,58.95,62.01,58.32,62.87,nan
Reserve Ratio,2851.27,3069.8,3422.66,nan,3333.87,3404.97,3422.66,nan
Oper.Income Margin,11.87,14.8,14.46,14.5,15.37,14.08,8.66,nan
Net Income Margin,6.22,9.81,8.11,8.82,10.65,8.56,-1.41,11.42
ROA,5.26,8.65,7.17,7.12,9.54,7.09,-0.96,nan
ROE,9.89,16.01,11.89,12.41,15.6,11.61,-1.83,nan
EPS(KRW),6463.0,11415.0,9470.0,11156.0,3143.0,2420.0,-387.0,3326.0
BPS(KRW),70942.0,77706.0,88067.0,98540.0,85847.0,87624.0,88067.0,nan
DPS(KRW),481.0,490.0,1250.0,1177.0,250.0,nan,1000.0,nan
PER,45.24,30.88,29.62,25.64,nan,nan,nan,nan
PBR,4.12,4.54,3.19,2.9,3.15,3.67,3.19,nan
Issued Shares,12811.0,12811.0,12811.0,nan,12811.0,12811.0,12811.0,nan
Div Yield,0.16,0.14,0.45,nan,0.09,nan,0.36,nan
