계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,8394.0,6722.0,6030.0,5959.0,1535.0,1494.0,1452.0,1375.0
Operating Income,2044.0,1025.0,569.0,370.0,180.0,117.0,63.0,4.0
Oper.Income(Rep.),2044.0,1025.0,569.0,nan,180.0,117.0,63.0,4.0
Net Income,1594.0,844.0,587.0,345.0,210.0,60.0,123.0,6.0
Net Income(Contr.),1594.0,844.0,587.0,345.0,210.0,60.0,123.0,6.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,6596.0,6887.0,7942.0,7983.0,7233.0,7201.0,7942.0,nan
Total Liabilities,2123.0,1737.0,2379.0,2202.0,1827.0,1737.0,2379.0,nan
Total Equity,4473.0,5151.0,5563.0,5781.0,5407.0,5465.0,5563.0,nan
Net Income(Contr.),4473.0,5151.0,5563.0,5781.0,5407.0,5465.0,5563.0,nan
Net Income(Minor.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Capital Stock,850.0,850.0,850.0,850.0,850.0,850.0,850.0,nan
Total Debt/Equity,47.47,33.72,42.77,38.09,33.79,31.78,42.77,nan
Reserve Ratio,426.23,505.94,554.44,nan,536.06,542.9,554.44,nan
Oper.Income Margin,24.35,15.25,9.43,6.21,11.73,7.84,4.32,nan
Net Income Margin,18.99,12.56,9.73,5.79,13.68,3.99,8.44,0.44
ROA,28.1,12.52,7.92,4.33,11.67,3.3,6.47,nan
ROE,42.99,17.55,10.96,6.08,15.84,4.39,8.89,nan
EPS(KRW),9376.0,4966.0,3453.0,2029.0,1235.0,351.0,721.0,35.0
BPS(KRW),26311.0,30297.0,32722.0,34004.0,31803.0,32145.0,32722.0,nan
DPS(KRW),900.0,900.0,800.0,769.0,nan,nan,800.0,nan
PER,3.82,11.16,6.78,9.46,nan,nan,nan,nan
PBR,1.36,1.83,0.72,0.56,1.44,0.91,0.72,nan
Issued Shares,17000.0,17000.0,17000.0,nan,17000.0,17000.0,17000.0,nan
Div Yield,2.51,1.62,3.42,nan,nan,nan,3.42,nan
