계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,17758.0,18590.0,20678.0,22768.0,5283.0,5988.0,4961.0,4916.0
Operating Income,360.0,570.0,549.0,1100.0,185.0,476.0,-118.0,64.0
Oper.Income(Rep.),360.0,570.0,549.0,nan,185.0,476.0,-118.0,64.0
Net Income,906.0,1342.0,552.0,1168.0,319.0,355.0,-231.0,100.0
Net Income(Contr.),951.0,1362.0,707.0,1160.0,321.0,374.0,-115.0,nan
Net Income(Minor.),-46.0,-20.0,-155.0,nan,-1.0,-19.0,-116.0,nan
Total Assets,24727.0,28123.0,29420.0,30426.0,28857.0,29257.0,29420.0,nan
Total Liabilities,4649.0,7116.0,7914.0,8366.0,7706.0,7512.0,7914.0,nan
Total Equity,20078.0,21007.0,21507.0,22060.0,21151.0,21746.0,21507.0,nan
Net Income(Contr.),19858.0,20513.0,21005.0,21891.0,20508.0,21181.0,21005.0,nan
Net Income(Minor.),220.0,494.0,501.0,169.0,644.0,565.0,501.0,nan
Capital Stock,744.0,778.0,814.0,812.0,814.0,814.0,814.0,nan
Total Debt/Equity,23.16,33.88,36.8,37.92,36.43,34.54,36.8,nan
Reserve Ratio,2850.25,2814.74,2750.52,nan,2688.94,2771.66,2750.52,nan
Oper.Income Margin,2.03,3.07,2.65,4.83,3.51,7.95,-2.38,nan
Net Income Margin,5.36,7.33,3.42,5.09,6.07,6.25,-2.32,2.04
ROA,3.67,5.08,1.92,3.9,4.49,4.89,-3.15,nan
ROE,4.86,6.75,3.41,5.41,6.29,7.18,-2.18,nan
EPS(KRW),1169.0,1673.0,869.0,1425.0,394.0,460.0,-141.0,123.0
BPS(KRW),26973.0,27869.0,28505.0,29593.0,27889.0,28717.0,28505.0,nan
DPS(KRW),364.0,429.0,500.0,494.0,nan,nan,500.0,nan
PER,46.83,41.11,137.59,74.17,nan,nan,nan,nan
PBR,2.03,2.47,4.19,3.57,2.9,4.97,4.19,nan
Issued Shares,80209.0,80209.0,80209.0,nan,80209.0,80209.0,80209.0,nan
Div Yield,0.66,0.62,0.42,nan,nan,nan,0.42,nan
