계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,2493.0,2850.0,2738.0,3242.0,446.0,617.0,1157.0,524.0
Operating Income,179.0,335.0,277.0,432.0,-31.0,61.0,228.0,10.0
Oper.Income(Rep.),179.0,335.0,277.0,nan,-31.0,61.0,228.0,10.0
Net Income,175.0,175.0,325.0,375.0,9.0,137.0,124.0,7.0
Net Income(Contr.),180.0,196.0,347.0,392.0,10.0,146.0,129.0,10.0
Net Income(Minor.),-5.0,-21.0,-22.0,nan,-1.0,-9.0,-4.0,nan
Total Assets,5707.0,6754.0,7219.0,7692.0,6662.0,6916.0,7219.0,nan
Total Liabilities,2295.0,2885.0,2189.0,2447.0,2380.0,2031.0,2189.0,nan
Total Equity,3411.0,3869.0,5030.0,5245.0,4282.0,4885.0,5030.0,nan
Net Income(Contr.),3376.0,3846.0,5031.0,5262.0,4269.0,4881.0,5031.0,nan
Net Income(Minor.),35.0,24.0,-1.0,-16.0,13.0,4.0,-1.0,nan
Capital Stock,94.0,94.0,101.0,100.0,97.0,101.0,101.0,nan
Total Debt/Equity,67.3,74.57,43.52,46.65,55.57,41.57,43.52,nan
Reserve Ratio,3490.15,3989.05,4893.15,nan,4286.96,4755.02,4893.15,nan
Oper.Income Margin,7.16,11.76,10.12,13.32,-6.86,9.88,19.68,nan
Net Income Margin,7.22,6.87,12.68,12.09,2.27,23.68,11.11,1.35
ROA,3.28,2.81,4.65,5.04,0.54,8.07,7.04,nan
ROE,5.45,5.42,7.82,7.61,0.99,12.78,10.37,nan
EPS(KRW),957.0,1041.0,1722.0,1944.0,52.0,727.0,638.0,52.0
BPS(KRW),17951.0,20445.0,24966.0,26109.0,21935.0,24275.0,24966.0,nan
DPS(KRW),500.0,500.0,500.0,500.0,nan,nan,500.0,nan
PER,91.54,65.13,51.61,36.83,nan,nan,nan,nan
PBR,4.88,3.32,3.56,2.74,3.9,4.15,3.56,nan
Issued Shares,18809.0,18809.0,20153.0,nan,19464.0,20108.0,20153.0,nan
Div Yield,0.57,0.74,0.56,nan,nan,nan,0.56,nan
