계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,43863.0,40835.0,36361.0,36274.0,9701.0,8835.0,8295.0,9017.0
Operating Income,1279.0,1967.0,523.0,1118.0,637.0,244.0,-570.0,181.0
Oper.Income(Rep.),1279.0,1967.0,523.0,nan,637.0,244.0,-570.0,181.0
Net Income,883.0,1260.0,203.0,686.0,466.0,114.0,-538.0,53.0
Net Income(Contr.),910.0,1283.0,202.0,704.0,466.0,112.0,-537.0,54.0
Net Income(Minor.),-27.0,-23.0,0.0,nan,0.0,2.0,-1.0,nan
Total Assets,38184.0,36652.0,38266.0,38951.0,38479.0,37643.0,38266.0,nan
Total Liabilities,18467.0,16261.0,17952.0,18384.0,17779.0,16880.0,17952.0,nan
Total Equity,19717.0,20391.0,20314.0,20567.0,20700.0,20763.0,20314.0,nan
Net Income(Contr.),18856.0,19554.0,19398.0,19652.0,19792.0,19852.0,19398.0,nan
Net Income(Minor.),861.0,837.0,917.0,915.0,908.0,911.0,917.0,nan
Capital Stock,2193.0,2193.0,2193.0,2191.0,2193.0,2193.0,2193.0,nan
Total Debt/Equity,93.66,79.75,88.37,89.39,85.89,81.3,88.37,nan
Reserve Ratio,759.79,791.61,784.48,nan,802.46,805.18,784.48,nan
Oper.Income Margin,2.91,4.82,1.44,3.08,6.56,2.76,-6.87,nan
Net Income Margin,2.07,3.14,0.56,1.94,4.8,1.27,-6.47,0.59
ROA,2.4,3.37,0.54,1.78,4.79,1.19,-5.67,nan
ROE,4.91,6.68,1.04,3.61,9.53,2.26,-10.94,nan
EPS(KRW),2537.0,3576.0,564.0,1963.0,1299.0,312.0,-1496.0,150.0
BPS(KRW),52580.0,54525.0,54089.0,54797.0,55189.0,55355.0,54089.0,nan
DPS(KRW),1200.0,1200.0,1200.0,1240.0,nan,nan,1200.0,nan
PER,6.43,6.95,35.02,9.41,nan,nan,nan,nan
PBR,0.31,0.46,0.37,0.34,0.38,0.37,0.37,nan
Issued Shares,35862.0,35862.0,35862.0,nan,35862.0,35862.0,35862.0,nan
Div Yield,7.36,4.83,6.07,nan,nan,nan,6.07,nan
