계정,2022/12,2023/12,2024/12,2025/12(E),2024/09,2024/12,2025/03,2025/06(E)
Sales,4567.0,3695.0,2675.0,6225.0,616.0,1568.0,1546.0,1430.0
Operating Income,1150.0,-120.0,-1384.0,-977.0,-396.0,-508.0,-151.0,-180.0
Oper.Income(Rep.),1150.0,-120.0,-1384.0,nan,-396.0,-508.0,-151.0,nan
Net Income,1225.0,223.0,-501.0,-450.0,-223.0,-27.0,-41.0,nan
Net Income(Contr.),1225.0,223.0,-539.0,-475.0,-223.0,-64.0,-75.0,-155.0
Net Income(Minor.),nan,nan,38.0,nan,nan,38.0,34.0,nan
Total Assets,21419.0,18524.0,28436.0,30495.0,20476.0,28436.0,29021.0,nan
Total Liabilities,4002.0,1486.0,8211.0,10155.0,3282.0,8211.0,8617.0,nan
Total Equity,17417.0,17039.0,20225.0,20340.0,17194.0,20225.0,20404.0,nan
Net Income(Contr.),17417.0,17039.0,18026.0,18155.0,17194.0,18026.0,18084.0,nan
Net Income(Minor.),0.0,0.0,2199.0,2185.0,0.0,2199.0,2320.0,nan
Capital Stock,384.0,384.0,392.0,390.0,384.0,392.0,392.0,nan
Total Debt/Equity,22.98,8.72,40.6,49.93,19.09,40.6,42.23,nan
Reserve Ratio,4436.62,4335.52,4501.47,nan,4376.1,4501.47,4516.32,nan
Oper.Income Margin,25.18,-3.24,-51.74,-15.69,-64.26,-32.37,-9.79,-12.59
Net Income Margin,26.81,6.04,-20.14,-7.63,-36.2,-4.1,-4.83,-10.84
ROA,5.76,1.12,-2.13,-1.53,-4.45,-0.44,-0.57,nan
ROE,7.33,1.3,-3.07,-2.63,-5.16,-1.46,-1.65,nan
EPS(KRW),1596.0,291.0,-698.0,-606.0,-290.0,-82.0,-95.0,-198.0
BPS(KRW),22683.0,22178.0,23007.0,23166.0,22380.0,23007.0,23082.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,46.05,247.72,nan,nan,nan,nan,nan,nan
PBR,3.24,3.25,2.19,1.8,2.48,2.19,1.7,nan
Issued Shares,76784.0,76828.0,78347.0,nan,76828.0,78347.0,78347.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
