계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,13338.0,14305.0,17455.0,20978.0,4379.0,4613.0,nan,4856.0
Operating Income,1420.0,2015.0,2717.0,3624.0,710.0,834.0,nan,830.0
Oper.Income(Rep.),1420.0,2015.0,2717.0,nan,710.0,834.0,0.0,830.0
Net Income,1049.0,1511.0,2279.0,2889.0,567.0,585.0,nan,633.0
Net Income(Contr.),1049.0,1511.0,2279.0,2888.0,567.0,585.0,nan,633.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,5198.0,6566.0,11522.0,13006.0,10825.0,10925.0,11522.0,nan
Total Liabilities,3376.0,4167.0,3787.0,4359.0,4480.0,4242.0,3787.0,nan
Total Equity,1822.0,2400.0,7735.0,8647.0,6345.0,6682.0,7735.0,nan
Net Income(Contr.),1822.0,2400.0,7735.0,8730.0,6345.0,6682.0,7735.0,nan
Net Income(Minor.),0.0,0.0,0.0,-83.0,0.0,0.0,0.0,nan
Capital Stock,200.0,200.0,222.0,221.0,222.0,222.0,222.0,nan
Total Debt/Equity,185.27,173.63,48.96,50.4,70.62,63.48,48.96,nan
Reserve Ratio,811.08,1099.83,3380.47,nan,2754.72,2906.74,3380.47,nan
Oper.Income Margin,10.64,14.08,15.57,17.28,16.21,18.08,nan,nan
Net Income Margin,7.87,10.56,13.06,13.77,12.94,12.69,nan,13.04
ROA,22.36,25.69,25.2,23.55,nan,21.53,0.0,nan
ROE,62.25,71.59,44.98,35.08,nan,35.94,0.0,nan
EPS(KRW),2623.0,3778.0,5305.0,6443.0,1320.0,1317.0,0.0,1412.0
BPS(KRW),4555.0,5999.0,17255.0,19474.0,14274.0,15034.0,17255.0,nan
DPS(KRW),1750.0,2500.0,3150.0,4150.0,450.0,nan,2700.0,700.0
PER,nan,nan,30.42,25.66,nan,nan,nan,nan
PBR,nan,nan,9.35,8.49,9.11,6.9,9.35,nan
Issued Shares,40000.0,40000.0,44829.0,nan,44450.0,44450.0,44829.0,nan
Div Yield,nan,nan,1.95,nan,0.35,nan,1.67,nan
