계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,2497.0,3121.0,2668.0,3035.0,655.0,618.0,662.0,626.0
Operating Income,454.0,577.0,399.0,543.0,98.0,76.0,96.0,74.0
Oper.Income(Rep.),454.0,577.0,399.0,nan,98.0,76.0,96.0,74.0
Net Income,368.0,581.0,461.0,536.0,104.0,69.0,121.0,102.0
Net Income(Contr.),358.0,551.0,449.0,519.0,101.0,69.0,117.0,102.0
Net Income(Minor.),10.0,31.0,12.0,nan,4.0,-1.0,4.0,nan
Total Assets,5940.0,6263.0,6603.0,7244.0,6447.0,6524.0,6603.0,nan
Total Liabilities,698.0,509.0,509.0,641.0,518.0,525.0,509.0,nan
Total Equity,5242.0,5754.0,6095.0,6604.0,5929.0,5999.0,6095.0,nan
Net Income(Contr.),4801.0,5288.0,5660.0,6151.0,5500.0,5571.0,5660.0,nan
Net Income(Minor.),441.0,466.0,434.0,453.0,429.0,428.0,434.0,nan
Capital Stock,133.0,133.0,133.0,132.0,133.0,133.0,133.0,nan
Total Debt/Equity,13.31,8.85,8.34,9.7,8.74,8.76,8.34,nan
Reserve Ratio,3608.01,3975.58,4256.75,nan,4135.67,4189.18,4256.75,nan
Oper.Income Margin,18.16,18.5,14.94,17.89,14.98,12.27,14.55,nan
Net Income Margin,14.32,17.65,16.83,17.11,15.36,11.24,17.71,16.35
ROA,6.69,9.53,7.17,7.73,6.48,4.24,7.39,nan
ROE,7.81,10.92,8.2,8.79,7.38,5.01,8.35,nan
EPS(KRW),1350.0,2078.0,1695.0,1959.0,380.0,262.0,442.0,385.0
BPS(KRW),18540.0,20378.0,21784.0,23633.0,21178.0,21446.0,21784.0,nan
DPS(KRW),170.0,170.0,250.0,223.0,nan,nan,250.0,nan
PER,11.93,7.09,10.42,9.24,nan,nan,nan,nan
PBR,0.87,0.72,0.81,0.77,0.61,0.64,0.81,nan
Issued Shares,26500.0,26500.0,26500.0,nan,26500.0,26500.0,26500.0,nan
Div Yield,1.06,1.15,1.42,nan,nan,nan,1.42,nan
