계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Interest Income,200923.0,275792.0,292093.0,280557.0,72450.0,74026.0,73712.0,nan
Operating Income,59056.0,61009.0,64587.0,68213.0,18525.0,18699.0,6680.0,19442.0
Oper.Income(Rep.),59056.0,61009.0,64587.0,nan,18525.0,18699.0,6680.0,19442.0
Net Income,47555.0,44780.0,45582.0,50490.0,14510.0,13254.0,4339.0,15170.0
Net Income(Contr.),46656.0,43680.0,44502.0,49336.0,14255.0,12971.0,4061.0,14883.0
Net Income(Minor.),899.0,1100.0,1080.0,nan,255.0,284.0,278.0,nan
Total Assets,6644332.0,6917953.0,7397643.0,7750949.0,7276799.0,7453965.0,7397643.0,nan
Total Liabilities,6110097.0,6354735.0,6809432.0,7110995.0,6700776.0,6866295.0,6809432.0,nan
Total Equity,534236.0,563219.0,588210.0,621488.0,576023.0,587670.0,588210.0,nan
Net Income(Contr.),507318.0,537205.0,560538.0,591091.0,548373.0,560015.0,560538.0,nan
Net Income(Minor.),26917.0,26013.0,27673.0,30397.0,27650.0,27656.0,27673.0,nan
Capital Stock,29696.0,29696.0,29696.0,29500.0,29696.0,29696.0,29696.0,nan
Total Debt/Equity,1143.71,1128.29,1157.65,1144.19,1163.28,1168.39,1157.65,nan
Reserve Ratio,1629.97,1709.0,1795.98,nan,1751.65,1795.91,1795.98,nan
Oper.Income Margin,18.66,15.47,15.41,24.31,18.28,18.67,5.53,nan
Net Income Margin,14.74,11.08,10.62,17.58,14.07,12.95,3.36,nan
ROA,0.72,0.66,0.64,0.67,0.81,0.72,0.23,nan
ROE,9.52,8.36,8.11,8.57,10.44,9.36,2.9,nan
EPS(KRW),8785.0,8398.0,8740.0,9901.0,2798.0,2546.0,803.0,2987.0
BPS(KRW),97619.0,104768.0,111837.0,119714.0,107947.0,110527.0,111837.0,nan
DPS(KRW),2065.0,2100.0,2160.0,2279.0,540.0,540.0,540.0,570.0
PER,4.01,4.78,5.45,5.26,nan,nan,nan,nan
PBR,0.36,0.38,0.43,0.44,0.45,0.5,0.43,nan
Issued Shares,508785.0,512759.0,503445.0,nan,509393.0,509393.0,503445.0,nan
Div Yield,5.87,5.23,4.53,nan,1.12,0.97,1.13,nan
