계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,53675.0,47349.0,48430.0,50570.0,12840.0,10995.0,12983.0,12316.0
Operating Income,2425.0,1997.0,1587.0,2037.0,594.0,329.0,358.0,269.0
Oper.Income(Rep.),2425.0,1997.0,1587.0,nan,594.0,329.0,358.0,269.0
Net Income,1892.0,508.0,1106.0,1304.0,439.0,-43.0,507.0,198.0
Net Income(Contr.),1798.0,428.0,986.0,1110.0,412.0,-94.0,488.0,163.0
Net Income(Minor.),93.0,80.0,120.0,nan,27.0,51.0,18.0,nan
Total Assets,60035.0,60027.0,72481.0,73753.0,62457.0,61462.0,72481.0,nan
Total Liabilities,32704.0,30731.0,34751.0,35704.0,31875.0,28776.0,34751.0,nan
Total Equity,27331.0,29297.0,37730.0,38049.0,30582.0,32686.0,37730.0,nan
Net Income(Contr.),26097.0,28015.0,36459.0,36630.0,29260.0,31319.0,36459.0,nan
Net Income(Minor.),1234.0,1282.0,1271.0,1418.0,1322.0,1367.0,1271.0,nan
Capital Stock,1514.0,1514.0,1514.0,1513.0,1514.0,1514.0,1514.0,nan
Total Debt/Equity,119.66,104.89,92.1,93.84,104.23,88.04,92.1,nan
Reserve Ratio,1623.69,1750.32,2307.93,nan,1832.58,1968.56,2307.93,nan
Oper.Income Margin,4.52,4.22,3.28,4.03,4.63,2.99,2.76,nan
Net Income Margin,3.35,0.9,2.04,2.2,3.21,-0.85,3.76,1.61
ROA,3.26,0.85,1.67,1.78,2.82,-0.28,3.03,nan
ROE,7.13,1.58,3.06,3.04,5.7,-1.24,5.76,nan
EPS(KRW),5937.0,1412.0,3256.0,3666.0,1360.0,-309.0,1612.0,538.0
BPS(KRW),86185.0,92516.0,120397.0,120963.0,96629.0,103428.0,120397.0,nan
DPS(KRW),1300.0,1300.0,1300.0,1300.0,nan,nan,1300.0,nan
PER,6.93,31.52,8.34,8.16,nan,nan,nan,nan
PBR,0.48,0.48,0.23,0.25,0.4,0.35,0.23,nan
Issued Shares,27519.0,27519.0,27519.0,nan,27519.0,27519.0,27519.0,nan
Div Yield,3.16,2.92,4.79,nan,nan,nan,4.79,nan
