계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,18657.0,21557.0,24521.0,27646.0,6603.0,6265.0,5905.0,6531.0
Operating Income,733.0,1361.0,1939.0,2592.0,717.0,545.0,351.0,599.0
Oper.Income(Rep.),733.0,1361.0,1939.0,nan,717.0,545.0,351.0,599.0
Net Income,-41.0,251.0,1253.0,1607.0,452.0,236.0,444.0,232.0
Net Income(Contr.),-220.0,52.0,901.0,1210.0,349.0,154.0,335.0,132.0
Net Income(Minor.),179.0,199.0,353.0,nan,103.0,83.0,109.0,nan
Total Assets,29333.0,30094.0,31267.0,32991.0,31514.0,30663.0,31267.0,nan
Total Liabilities,14638.0,15908.0,16210.0,16577.0,17009.0,15894.0,16210.0,nan
Total Equity,14695.0,14186.0,15057.0,16414.0,14505.0,14770.0,15057.0,nan
Net Income(Contr.),6641.0,6486.0,7926.0,8942.0,7536.0,7712.0,7926.0,nan
Net Income(Minor.),8054.0,7700.0,7131.0,7471.0,6969.0,7058.0,7131.0,nan
Capital Stock,114.0,114.0,118.0,119.0,118.0,118.0,118.0,nan
Total Debt/Equity,99.62,112.14,107.65,100.99,117.27,107.61,107.65,nan
Reserve Ratio,5704.74,5569.48,6615.8,nan,6284.68,6433.96,6615.8,nan
Oper.Income Margin,3.93,6.32,7.91,9.38,10.87,8.71,5.95,nan
Net Income Margin,-1.18,0.24,3.67,4.38,5.28,2.45,5.68,3.55
ROA,-0.15,0.85,4.08,5.0,5.85,3.04,5.74,nan
ROE,-3.26,0.79,12.5,14.34,18.92,8.07,17.15,nan
EPS(KRW),-961.0,227.0,3830.0,5124.0,1476.0,651.0,1420.0,561.0
BPS(KRW),29024.0,28347.0,33579.0,37884.0,31923.0,32670.0,33579.0,nan
DPS(KRW),500.0,600.0,720.0,742.0,nan,nan,720.0,nan
PER,nan,236.22,14.39,16.16,nan,nan,nan,nan
PBR,1.47,1.89,1.64,2.19,2.23,2.28,1.64,nan
Issued Shares,22881.0,22881.0,23605.0,nan,23605.0,23605.0,23605.0,nan
Div Yield,1.17,1.12,1.31,nan,nan,nan,1.31,nan
