계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,3528.0,3505.0,3572.0,3854.0,981.0,1004.0,965.0,628.0
Operating Income,566.0,551.0,470.0,507.0,158.0,154.0,107.0,45.0
Oper.Income(Rep.),566.0,551.0,470.0,nan,158.0,154.0,107.0,nan
Net Income,452.0,489.0,362.0,402.0,179.0,107.0,27.0,46.0
Net Income(Contr.),382.0,402.0,301.0,344.0,132.0,90.0,37.0,31.0
Net Income(Minor.),70.0,86.0,62.0,nan,47.0,17.0,-10.0,nan
Total Assets,3097.0,3483.0,4038.0,4027.0,3840.0,4019.0,4038.0,nan
Total Liabilities,961.0,920.0,1213.0,1099.0,1167.0,1235.0,1213.0,nan
Total Equity,2135.0,2563.0,2825.0,2928.0,2673.0,2784.0,2825.0,nan
Net Income(Contr.),1909.0,2237.0,2439.0,2479.0,2281.0,2374.0,2439.0,nan
Net Income(Minor.),226.0,326.0,386.0,450.0,392.0,410.0,386.0,nan
Capital Stock,33.0,33.0,33.0,34.0,33.0,33.0,33.0,nan
Total Debt/Equity,45.01,35.89,42.95,37.52,43.65,44.38,42.95,nan
Reserve Ratio,5698.65,6808.22,7301.76,nan,7070.53,7104.68,7301.76,nan
Oper.Income Margin,16.04,15.72,13.15,13.16,16.07,15.34,11.13,7.1
Net Income Margin,10.82,11.47,8.42,8.93,13.47,8.97,3.87,4.9
ROA,15.46,14.85,9.64,9.97,18.91,10.86,2.71,4.51
ROE,21.94,19.39,12.87,13.99,23.26,15.48,6.2,5.04
EPS(KRW),1179.0,1242.0,945.0,1093.0,412.0,286.0,119.0,98.0
BPS(KRW),5903.0,7033.0,7751.0,7877.0,7368.0,7545.0,7751.0,nan
DPS(KRW),310.0,200.0,500.0,536.0,nan,nan,500.0,nan
PER,12.25,8.29,10.68,7.47,nan,nan,nan,nan
PBR,2.45,1.46,1.3,1.04,1.72,1.42,1.3,nan
Issued Shares,32368.0,32368.0,31468.0,nan,32068.0,31468.0,31468.0,nan
Div Yield,2.15,1.94,4.96,nan,nan,nan,4.96,nan
