계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,5934.0,12772.0,14613.0,nan,nan,nan,nan,nan
Operating Income,-673.0,1822.0,1631.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-673.0,1822.0,1631.0,nan,nan,nan,0.0,nan
Net Income,-635.0,1339.0,957.0,nan,nan,nan,nan,nan
Net Income(Contr.),-635.0,1339.0,957.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,7578.0,9523.0,12271.0,nan,nan,nan,12271.0,nan
Total Liabilities,6629.0,8093.0,9959.0,nan,nan,nan,9959.0,nan
Total Equity,949.0,1430.0,2313.0,nan,nan,nan,2313.0,nan
Net Income(Contr.),949.0,1430.0,2313.0,nan,nan,nan,2313.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,522.0,522.0,522.0,nan,nan,nan,522.0,nan
Total Debt/Equity,698.19,566.02,430.65,nan,nan,nan,430.65,nan
Reserve Ratio,100.25,192.29,361.38,nan,nan,nan,361.38,nan
Oper.Income Margin,-11.34,14.26,11.16,nan,nan,nan,nan,nan
Net Income Margin,-10.7,10.48,6.55,nan,nan,nan,nan,nan
ROA,-9.35,15.66,8.78,nan,nan,nan,nan,nan
ROE,-47.46,112.52,51.15,nan,nan,nan,nan,nan
EPS(KRW),-1217.0,2564.0,1834.0,nan,nan,nan,0.0,nan
BPS(KRW),2002.0,2923.0,4614.0,nan,nan,nan,4614.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,4.59,5.25,nan,nan,nan,nan,nan
PBR,8.21,4.03,2.09,nan,nan,nan,2.09,nan
Issued Shares,52200.0,52200.0,52200.0,nan,nan,nan,52200.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
