계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,2946.0,3656.0,3668.0,3854.0,870.0,931.0,896.0,890.0
Operating Income,196.0,316.0,329.0,448.0,47.0,65.0,69.0,102.0
Oper.Income(Rep.),196.0,316.0,329.0,nan,47.0,65.0,69.0,102.0
Net Income,132.0,464.0,-70.0,353.0,77.0,-14.0,-276.0,61.0
Net Income(Contr.),131.0,487.0,24.0,388.0,78.0,14.0,-247.0,73.0
Net Income(Minor.),1.0,-23.0,-93.0,nan,-1.0,-28.0,-29.0,nan
Total Assets,5601.0,6714.0,6200.0,6615.0,6561.0,6517.0,6200.0,nan
Total Liabilities,1013.0,1438.0,1011.0,1069.0,1098.0,1118.0,1011.0,nan
Total Equity,4588.0,5276.0,5189.0,5546.0,5463.0,5399.0,5189.0,nan
Net Income(Contr.),4491.0,4894.0,4873.0,5251.0,5109.0,5052.0,4873.0,nan
Net Income(Minor.),97.0,382.0,316.0,295.0,354.0,348.0,316.0,nan
Capital Stock,110.0,110.0,110.0,110.0,110.0,110.0,110.0,nan
Total Debt/Equity,22.09,27.26,19.47,19.28,20.1,20.71,19.47,nan
Reserve Ratio,4340.35,4796.92,4822.66,nan,4991.94,5030.43,4822.66,nan
Oper.Income Margin,6.64,8.64,8.97,11.62,5.45,6.94,7.67,nan
Net Income Margin,4.44,13.31,0.65,10.08,8.95,1.52,-27.55,6.86
ROA,2.33,7.54,-1.08,5.51,4.55,-0.86,-17.34,nan
ROE,2.88,10.37,0.49,7.67,6.13,1.12,-19.9,nan
EPS(KRW),593.0,2209.0,109.0,1777.0,354.0,64.0,-1128.0,333.0
BPS(KRW),22202.0,24485.0,24813.0,26539.0,25460.0,25652.0,24813.0,nan
DPS(KRW),nan,245.0,nan,232.0,nan,nan,nan,nan
PER,62.3,12.06,173.59,13.93,nan,nan,nan,nan
PBR,1.66,1.09,0.76,0.93,0.8,0.84,0.76,nan
Issued Shares,22034.0,22034.0,21857.0,nan,22034.0,22034.0,21857.0,nan
Div Yield,nan,0.92,nan,nan,nan,nan,nan,nan
