계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,645.0,684.0,730.0,809.0,215.0,169.0,175.0,183.0
Operating Income,200.0,166.0,166.0,203.0,44.0,45.0,42.0,45.0
Oper.Income(Rep.),200.0,166.0,166.0,nan,44.0,45.0,42.0,nan
Net Income,38.0,72.0,158.0,177.0,37.0,7.0,91.0,38.0
Net Income(Contr.),37.0,72.0,158.0,177.0,37.0,7.0,91.0,38.0
Net Income(Minor.),1.0,nan,nan,nan,nan,nan,nan,nan
Total Assets,1822.0,2075.0,2629.0,2885.0,2120.0,2545.0,2629.0,nan
Total Liabilities,528.0,794.0,1161.0,1283.0,794.0,1196.0,1161.0,nan
Total Equity,1294.0,1282.0,1468.0,1602.0,1325.0,1349.0,1468.0,nan
Net Income(Contr.),1294.0,1282.0,1468.0,1602.0,1325.0,1349.0,1468.0,nan
Net Income(Minor.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Capital Stock,51.0,51.0,51.0,51.0,51.0,51.0,51.0,nan
Total Debt/Equity,40.8,61.94,79.1,80.09,59.95,88.65,79.1,nan
Reserve Ratio,2439.53,2473.37,2787.31,nan,2562.13,2555.47,2787.31,nan
Oper.Income Margin,31.03,24.26,22.71,25.09,20.61,26.62,24.02,24.59
Net Income Margin,5.66,10.49,21.6,21.88,17.2,4.13,51.99,20.77
ROA,1.97,3.68,6.71,6.42,7.02,1.2,14.11,5.78
ROE,2.82,5.57,11.48,11.53,11.32,2.09,25.91,10.35
EPS(KRW),361.0,700.0,1538.0,1726.0,361.0,68.0,890.0,371.0
BPS(KRW),12698.0,12867.0,14437.0,15743.0,13311.0,13277.0,14437.0,nan
DPS(KRW),100.0,100.0,150.0,150.0,nan,nan,150.0,nan
PER,90.79,28.8,10.58,11.67,nan,nan,nan,nan
PBR,2.58,1.57,1.13,1.28,1.19,1.18,1.13,nan
Issued Shares,10255.0,10255.0,10255.0,nan,10255.0,10255.0,10255.0,nan
Div Yield,0.31,0.5,0.92,nan,nan,nan,0.92,nan
