계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,4286.0,3271.0,3080.0,nan,718.0,853.0,790.0,843.0
Operating Income,273.0,48.0,235.0,nan,59.0,76.0,66.0,107.0
Oper.Income(Rep.),273.0,48.0,235.0,nan,59.0,76.0,66.0,107.0
Net Income,290.0,77.0,266.0,nan,68.0,22.0,115.0,90.0
Net Income(Contr.),282.0,79.0,273.0,nan,70.0,23.0,116.0,90.0
Net Income(Minor.),8.0,-2.0,-6.0,nan,-2.0,-2.0,-2.0,nan
Total Assets,4717.0,4622.0,4437.0,nan,4592.0,4425.0,4437.0,nan
Total Liabilities,1300.0,1236.0,826.0,nan,1159.0,1018.0,826.0,nan
Total Equity,3417.0,3386.0,3611.0,nan,3433.0,3408.0,3611.0,nan
Net Income(Contr.),3207.0,3181.0,3398.0,nan,3226.0,3206.0,3398.0,nan
Net Income(Minor.),209.0,205.0,213.0,nan,207.0,202.0,213.0,nan
Capital Stock,78.0,78.0,83.0,nan,78.0,78.0,83.0,nan
Total Debt/Equity,38.05,36.49,22.89,nan,33.76,29.87,22.89,nan
Reserve Ratio,4195.92,4226.34,4404.72,nan,4348.74,4371.25,4404.72,nan
Oper.Income Margin,6.38,1.47,7.65,nan,8.19,8.94,8.34,nan
Net Income Margin,6.59,2.42,8.86,nan,9.77,2.73,14.74,10.62
ROA,7.07,1.65,5.88,nan,6.05,1.93,10.36,nan
ROE,9.26,2.48,8.29,nan,8.71,2.9,14.11,nan
EPS(KRW),1812.0,509.0,1651.0,nan,450.0,150.0,705.0,544.0
BPS(KRW),21480.0,21632.0,22524.0,nan,22244.0,22356.0,22524.0,nan
DPS(KRW),250.0,200.0,250.0,nan,nan,nan,250.0,nan
PER,5.02,12.87,4.76,nan,nan,nan,nan,nan
PBR,0.42,0.3,0.35,nan,0.33,0.35,0.35,nan
Issued Shares,15575.0,15575.0,16527.0,nan,15575.0,15575.0,16527.0,nan
Div Yield,2.75,3.05,3.18,nan,nan,nan,3.18,nan
