계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1334.0,1358.0,1447.0,nan,405.0,393.0,314.0,374.0
Operating Income,111.0,89.0,111.0,nan,18.0,65.0,-21.0,76.0
Oper.Income(Rep.),111.0,89.0,111.0,nan,18.0,65.0,-21.0,76.0
Net Income,98.0,103.0,109.0,nan,26.0,33.0,-2.0,65.0
Net Income(Contr.),99.0,103.0,108.0,nan,26.0,31.0,-1.0,65.0
Net Income(Minor.),-1.0,-0.0,1.0,nan,0.0,2.0,-1.0,nan
Total Assets,3274.0,3238.0,3433.0,nan,3317.0,3300.0,3433.0,nan
Total Liabilities,773.0,658.0,717.0,nan,656.0,629.0,717.0,nan
Total Equity,2501.0,2580.0,2716.0,nan,2661.0,2671.0,2716.0,nan
Net Income(Contr.),2494.0,2574.0,2708.0,nan,2655.0,2663.0,2708.0,nan
Net Income(Minor.),7.0,6.0,8.0,nan,6.0,8.0,8.0,nan
Capital Stock,80.0,80.0,80.0,nan,80.0,80.0,80.0,nan
Total Debt/Equity,30.89,25.51,26.42,nan,24.65,23.55,26.42,nan
Reserve Ratio,3012.08,3110.95,3278.68,nan,3212.26,3222.23,3278.68,nan
Oper.Income Margin,8.34,6.58,7.67,nan,4.52,16.56,-6.56,nan
Net Income Margin,7.41,7.61,7.49,nan,6.36,7.83,-0.39,17.26
ROA,3.08,3.17,3.27,nan,3.23,3.95,-0.27,nan
ROE,4.01,4.08,4.1,nan,3.91,4.63,-0.18,nan
EPS(KRW),616.0,645.0,676.0,nan,161.0,192.0,-8.0,403.0
BPS(KRW),15560.0,16055.0,16893.0,nan,16561.0,16611.0,16893.0,nan
DPS(KRW),200.0,200.0,220.0,nan,nan,nan,220.0,nan
PER,14.07,12.97,10.52,nan,nan,nan,nan,nan
PBR,0.56,0.52,0.42,nan,0.48,0.45,0.42,nan
Issued Shares,16031.0,16031.0,16031.0,nan,16031.0,16031.0,16031.0,nan
Div Yield,2.31,2.39,3.09,nan,nan,nan,3.09,nan
