계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,104192.0,116478.0,105036.0,85706.0,28215.0,25478.0,26470.0,20767.0
Operating Income,7600.0,6625.0,4031.0,4636.0,1048.0,623.0,1212.0,1513.0
Oper.Income(Rep.),7600.0,6625.0,4031.0,nan,1048.0,623.0,1212.0,1513.0
Net Income,5080.0,5215.0,2429.0,2693.0,965.0,403.0,145.0,580.0
Net Income(Contr.),5040.0,5117.0,2341.0,2568.0,947.0,381.0,130.0,559.0
Net Income(Minor.),40.0,98.0,88.0,nan,18.0,23.0,15.0,nan
Total Assets,111404.0,112431.0,126585.0,123859.0,122499.0,123255.0,126585.0,nan
Total Liabilities,74157.0,71812.0,83244.0,77601.0,80408.0,81617.0,83244.0,nan
Total Equity,37246.0,40619.0,43341.0,46259.0,42091.0,41638.0,43341.0,nan
Net Income(Contr.),37145.0,40459.0,42911.0,45786.0,41902.0,41438.0,42911.0,nan
Net Income(Minor.),102.0,160.0,429.0,473.0,189.0,200.0,429.0,nan
Capital Stock,20781.0,20781.0,20781.0,20780.0,20781.0,20781.0,20781.0,nan
Total Debt/Equity,199.1,176.79,192.07,167.75,191.03,196.01,192.07,nan
Reserve Ratio,83.64,99.59,111.39,nan,106.53,104.3,111.39,nan
Oper.Income Margin,7.29,5.69,3.84,5.41,3.71,2.45,4.58,nan
Net Income Margin,4.84,4.39,2.23,3.0,3.36,1.49,0.49,2.79
ROA,4.7,4.66,2.03,2.15,3.16,1.31,0.46,nan
ROE,14.55,13.19,5.62,5.79,9.14,3.66,1.23,nan
EPS(KRW),1213.0,1231.0,563.0,618.0,228.0,92.0,31.0,135.0
BPS(KRW),9182.0,9979.0,10569.0,11261.0,10327.0,10215.0,10569.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,3.45,3.37,5.51,5.94,nan,nan,nan,nan
PBR,0.46,0.42,0.29,0.33,0.36,0.37,0.29,nan
Issued Shares,415623.0,415623.0,415623.0,nan,415623.0,415623.0,415623.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
