계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1504.0,1911.0,1866.0,2049.0,460.0,476.0,476.0,452.0
Operating Income,92.0,168.0,49.0,105.0,11.0,14.0,14.0,-26.0
Oper.Income(Rep.),92.0,168.0,49.0,nan,11.0,14.0,14.0,-26.0
Net Income,459.0,626.0,-386.0,130.0,-156.0,-97.0,-70.0,-35.0
Net Income(Contr.),459.0,626.0,-386.0,87.0,-156.0,-97.0,-70.0,-35.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,3102.0,3748.0,3779.0,4356.0,3720.0,3749.0,3779.0,nan
Total Liabilities,1405.0,1286.0,1761.0,2279.0,1503.0,1627.0,1761.0,nan
Total Equity,1697.0,2462.0,2017.0,2077.0,2217.0,2121.0,2017.0,nan
Net Income(Contr.),1697.0,2462.0,2017.0,2077.0,2217.0,2121.0,2017.0,nan
Net Income(Minor.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Capital Stock,69.0,76.0,76.0,76.0,76.0,76.0,76.0,nan
Total Debt/Equity,82.81,52.23,87.31,109.73,67.81,76.71,87.31,nan
Reserve Ratio,2365.51,3217.93,2630.84,nan,2894.43,2767.92,2630.84,nan
Oper.Income Margin,6.1,8.78,2.61,5.1,2.32,2.98,2.88,nan
Net Income Margin,30.52,32.78,-20.66,4.22,-33.98,-20.48,-14.72,-7.71
ROA,17.74,18.29,-10.25,3.2,-16.8,-10.44,-7.45,nan
ROE,33.27,30.12,-17.22,4.23,-27.25,-17.98,-13.56,nan
EPS(KRW),3350.0,4136.0,-2546.0,571.0,-1032.0,-644.0,-463.0,-230.0
BPS(KRW),12328.0,16590.0,13654.0,14048.0,14972.0,14340.0,13654.0,nan
DPS(KRW),130.0,200.0,60.0,60.0,nan,nan,60.0,nan
PER,3.3,8.05,nan,23.46,nan,nan,nan,nan
PBR,0.9,2.01,0.93,0.95,1.38,0.98,0.93,nan
Issued Shares,13856.0,15144.0,15144.0,nan,15144.0,15144.0,15144.0,nan
Div Yield,1.18,0.6,0.47,nan,nan,nan,0.47,nan
