계정,2023/12,2024/06,2024/12,2025/06(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,165.0,175.0,181.0,nan,nan,89.0,nan,nan
Operating Income,106.0,105.0,119.0,nan,nan,57.0,nan,nan
Oper.Income(Rep.),106.0,105.0,119.0,nan,0.0,57.0,0.0,nan
Net Income,53.0,-11.0,103.0,nan,nan,-7.0,nan,nan
Net Income(Contr.),53.0,-11.0,103.0,nan,nan,-7.0,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,6215.0,6481.0,9684.0,nan,6481.0,6442.0,9684.0,nan
Total Liabilities,3619.0,3932.0,6406.0,nan,3932.0,3965.0,6406.0,nan
Total Equity,2596.0,2549.0,3278.0,nan,2549.0,2476.0,3278.0,nan
Net Income(Contr.),2596.0,2549.0,2586.0,nan,2549.0,2476.0,2586.0,nan
Net Income(Minor.),0.0,0.0,693.0,nan,0.0,0.0,693.0,nan
Capital Stock,560.0,560.0,560.0,nan,560.0,560.0,560.0,nan
Total Debt/Equity,139.39,154.26,195.41,nan,154.26,160.14,195.41,nan
Reserve Ratio,363.98,355.53,362.08,nan,355.53,342.53,362.08,nan
Oper.Income Margin,64.63,59.73,66.01,nan,nan,64.22,nan,nan
Net Income Margin,32.26,-6.38,56.88,nan,nan,-7.5,nan,nan
ROA,0.89,-0.18,1.27,nan,0.0,-0.41,0.0,nan
ROE,2.04,-0.43,4.0,nan,0.0,-1.07,0.0,nan
EPS(KRW),95.0,-20.0,nan,nan,0.0,-12.0,nan,nan
BPS(KRW),4640.0,4555.0,nan,nan,4555.0,4425.0,nan,nan
DPS(KRW),140.0,248.0,nan,nan,248.0,nan,nan,nan
PER,38.65,nan,nan,nan,nan,nan,nan,nan
PBR,0.79,0.95,nan,nan,0.95,0.85,nan,nan
Issued Shares,55956.0,55956.0,nan,nan,55956.0,55956.0,nan,nan
Div Yield,3.81,5.74,nan,nan,5.74,nan,nan,nan
