계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,18089.0,19785.0,18960.0,20010.0,3915.0,4510.0,5465.0,5056.0
Operating Income,5249.0,5518.0,4507.0,4797.0,918.0,1083.0,1204.0,1236.0
Oper.Income(Rep.),5249.0,5518.0,4507.0,nan,918.0,1083.0,1204.0,1236.0
Net Income,4427.0,4250.0,3560.0,3767.0,740.0,798.0,1059.0,830.0
Net Income(Contr.),4418.0,4251.0,3604.0,3817.0,742.0,835.0,1070.0,835.0
Net Income(Minor.),9.0,-1.0,-44.0,nan,-2.0,-37.0,-11.0,nan
Total Assets,15702.0,20051.0,22859.0,25836.0,19264.0,21395.0,22859.0,nan
Total Liabilities,6270.0,6874.0,7086.0,6929.0,5142.0,6548.0,7086.0,nan
Total Equity,9432.0,13177.0,15773.0,18907.0,14121.0,14847.0,15773.0,nan
Net Income(Contr.),9215.0,12905.0,15622.0,18826.0,13809.0,14575.0,15622.0,nan
Net Income(Minor.),217.0,272.0,151.0,81.0,312.0,272.0,151.0,nan
Capital Stock,38.0,38.0,38.0,39.0,38.0,38.0,38.0,nan
Total Debt/Equity,66.48,52.16,44.93,36.65,36.42,44.1,44.93,nan
Reserve Ratio,24454.1,34087.7,42052.51,nan,36926.83,38989.48,42052.51,nan
Oper.Income Margin,29.02,27.89,23.77,23.97,23.45,24.02,22.03,nan
Net Income Margin,24.42,21.48,19.01,19.07,18.95,18.52,19.57,16.42
ROA,32.66,23.78,16.59,15.47,14.85,15.7,19.14,nan
ROE,60.4,38.43,25.27,22.16,21.99,23.53,28.34,nan
EPS(KRW),11532.0,11096.0,9408.0,9963.0,1937.0,2180.0,2792.0,2179.0
BPS(KRW),24554.0,34188.0,42153.0,50516.0,37027.0,39089.0,42153.0,nan
DPS(KRW),1600.0,1700.0,1700.0,1799.0,nan,nan,1700.0,nan
PER,12.53,8.04,5.77,6.9,nan,nan,nan,nan
PBR,5.88,2.61,1.29,1.36,1.69,1.75,1.29,nan
Issued Shares,38307.0,38307.0,38307.0,nan,38307.0,38307.0,38307.0,nan
Div Yield,1.11,1.91,3.13,nan,nan,nan,3.13,nan
