계정,2022/03,2023/03,2024/03,2025/03(P),2024/06,2024/09,2024/12,2025/03(P)
Sales,263.0,288.0,280.0,nan,nan,nan,nan,nan
Operating Income,-38.0,15.0,-6.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-38.0,15.0,-6.0,nan,nan,nan,nan,nan
Net Income,342.0,-124.0,129.0,nan,nan,nan,nan,nan
Net Income(Contr.),342.0,-124.0,129.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1050.0,811.0,970.0,nan,nan,nan,nan,nan
Total Liabilities,218.0,97.0,119.0,nan,nan,nan,nan,nan
Total Equity,832.0,714.0,851.0,nan,nan,nan,nan,nan
Net Income(Contr.),832.0,714.0,851.0,nan,nan,nan,nan,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,nan,nan
Capital Stock,593.0,593.0,593.0,nan,nan,nan,nan,nan
Total Debt/Equity,26.16,13.53,13.97,nan,nan,nan,nan,nan
Reserve Ratio,40.32,20.43,43.54,nan,nan,nan,nan,nan
Oper.Income Margin,-14.39,5.04,-2.31,nan,nan,nan,nan,nan
Net Income Margin,130.15,-43.11,45.96,nan,nan,nan,nan,nan
ROA,38.76,-13.36,14.46,nan,nan,nan,nan,nan
ROE,51.92,-16.07,16.45,nan,nan,nan,nan,nan
EPS(KRW),288.0,-105.0,109.0,nan,nan,nan,nan,nan
BPS(KRW),702.0,602.0,718.0,nan,nan,nan,nan,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,3.21,nan,5.51,nan,nan,nan,nan,nan
PBR,1.32,1.02,0.83,nan,nan,nan,nan,nan
Issued Shares,118583.0,118583.0,118583.0,nan,nan,nan,nan,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
