계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1125.0,1180.0,1311.0,nan,284.0,343.0,309.0,429.0
Operating Income,185.0,183.0,202.0,nan,66.0,38.0,23.0,85.0
Oper.Income(Rep.),185.0,183.0,202.0,nan,66.0,38.0,23.0,85.0
Net Income,152.0,-5.0,119.0,nan,55.0,36.0,-39.0,74.0
Net Income(Contr.),152.0,-5.0,119.0,nan,55.0,36.0,-39.0,74.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,2028.0,1972.0,2253.0,nan,2273.0,2255.0,2253.0,nan
Total Liabilities,1105.0,1097.0,1281.0,nan,1298.0,1243.0,1281.0,nan
Total Equity,923.0,875.0,973.0,nan,976.0,1012.0,973.0,nan
Net Income(Contr.),923.0,875.0,973.0,nan,976.0,1012.0,973.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,119.0,119.0,119.0,nan,119.0,119.0,119.0,nan
Total Debt/Equity,119.77,125.42,131.61,nan,132.96,122.87,131.61,nan
Reserve Ratio,677.05,636.75,719.45,nan,721.91,752.34,719.45,nan
Oper.Income Margin,16.46,15.55,15.45,nan,23.14,11.06,7.47,nan
Net Income Margin,13.49,-0.45,9.1,nan,19.52,10.57,-12.7,17.32
ROA,8.54,-0.27,5.64,nan,9.85,6.4,-6.96,nan
ROE,17.53,-0.59,12.91,nan,23.41,14.57,-15.82,nan
EPS(KRW),639.0,-22.0,502.0,nan,234.0,152.0,-165.0,313.0
BPS(KRW),3885.0,3684.0,4097.0,nan,4110.0,4262.0,4097.0,nan
DPS(KRW),80.0,90.0,170.0,nan,nan,nan,170.0,nan
PER,10.69,nan,10.34,nan,nan,nan,nan,nan
PBR,1.76,1.61,1.27,nan,1.47,1.25,1.27,nan
Issued Shares,23746.0,23746.0,23746.0,nan,23746.0,23746.0,23746.0,nan
Div Yield,1.17,1.52,3.28,nan,nan,nan,3.28,nan
