계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,75.0,51.0,55.0,nan,nan,nan,nan,nan
Operating Income,-18.0,-56.0,-69.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-18.0,-56.0,-69.0,nan,nan,nan,0.0,nan
Net Income,-53.0,-110.0,-9.0,nan,nan,nan,nan,nan
Net Income(Contr.),-53.0,-110.0,-9.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,308.0,545.0,289.0,nan,nan,nan,289.0,nan
Total Liabilities,87.0,429.0,168.0,nan,nan,nan,168.0,nan
Total Equity,221.0,116.0,121.0,nan,nan,nan,121.0,nan
Net Income(Contr.),221.0,116.0,121.0,nan,nan,nan,121.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,31.0,31.0,31.0,nan,nan,nan,31.0,nan
Total Debt/Equity,39.35,369.7,137.95,nan,nan,nan,137.95,nan
Reserve Ratio,614.78,276.04,293.31,nan,nan,nan,293.31,nan
Oper.Income Margin,-24.59,-108.53,-126.11,nan,nan,nan,nan,nan
Net Income Margin,-70.5,-214.51,-16.41,nan,nan,nan,nan,nan
ROA,-21.77,-25.83,-2.15,nan,nan,nan,nan,nan
ROE,-36.75,-65.4,-7.55,nan,nan,nan,nan,nan
EPS(KRW),-1004.0,-1784.0,-145.0,nan,nan,nan,0.0,nan
BPS(KRW),3574.0,1880.0,1967.0,nan,nan,nan,1967.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,4.81,20.98,9.15,nan,nan,nan,9.15,nan
Issued Shares,6175.0,6175.0,6175.0,nan,nan,nan,6175.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
