계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,80662.0,69923.0,70959.0,80297.0,16514.0,17338.0,19847.0,18270.0
Operating Income,3905.0,3036.0,2872.0,4502.0,469.0,430.0,1226.0,1129.0
Oper.Income(Rep.),3905.0,3036.0,2872.0,nan,469.0,430.0,1226.0,1129.0
Net Income,2571.0,3163.0,1778.0,3307.0,385.0,733.0,457.0,873.0
Net Income(Contr.),2571.0,3163.0,1788.0,3312.0,386.0,735.0,464.0,875.0
Net Income(Minor.),nan,0.0,-11.0,nan,-1.0,-3.0,-7.0,nan
Total Assets,58318.0,60818.0,75396.0,74412.0,66675.0,67340.0,75396.0,nan
Total Liabilities,34909.0,34935.0,48013.0,44444.0,40502.0,40703.0,48013.0,nan
Total Equity,23409.0,25883.0,27383.0,29966.0,26173.0,26636.0,27383.0,nan
Net Income(Contr.),23409.0,25811.0,27290.0,29870.0,26075.0,26546.0,27290.0,nan
Net Income(Minor.),0.0,72.0,93.0,95.0,98.0,91.0,93.0,nan
Capital Stock,462.0,462.0,462.0,461.0,462.0,462.0,462.0,nan
Total Debt/Equity,149.13,134.97,175.34,148.32,154.75,152.81,175.34,nan
Reserve Ratio,4988.3,5508.72,5829.23,nan,5566.06,5667.96,5829.23,nan
Oper.Income Margin,4.84,4.34,4.05,5.61,2.84,2.48,6.18,nan
Net Income Margin,3.19,4.52,2.52,4.13,2.34,4.24,2.34,4.78
ROA,4.69,5.31,2.61,4.41,2.34,4.38,2.56,nan
ROE,11.53,12.85,6.74,11.59,5.99,11.18,6.9,nan
EPS(KRW),27852.0,34267.0,19375.0,35838.0,4180.0,7968.0,5029.0,9471.0
BPS(KRW),254415.0,280436.0,296461.0,323891.0,283303.0,288398.0,296461.0,nan
DPS(KRW),6500.0,8000.0,8000.0,8500.0,2000.0,nan,6000.0,nan
PER,4.15,4.32,10.68,5.93,nan,nan,nan,nan
PBR,0.45,0.53,0.7,0.66,0.62,0.59,0.7,nan
Issued Shares,9230.0,9230.0,9230.0,nan,9230.0,9230.0,9230.0,nan
Div Yield,5.63,5.41,3.86,nan,1.14,nan,2.9,nan
