계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,3782.0,4026.0,3410.0,nan,913.0,798.0,757.0,nan
Operating Income,-22.0,301.0,202.0,nan,59.0,25.0,39.0,nan
Oper.Income(Rep.),-22.0,301.0,202.0,nan,59.0,25.0,39.0,nan
Net Income,450.0,550.0,732.0,nan,160.0,47.0,316.0,nan
Net Income(Contr.),450.0,550.0,732.0,nan,160.0,47.0,316.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,10385.0,10788.0,11436.0,nan,11066.0,11007.0,11436.0,nan
Total Liabilities,848.0,876.0,793.0,nan,833.0,739.0,793.0,nan
Total Equity,9537.0,9912.0,10643.0,nan,10233.0,10268.0,10643.0,nan
Net Income(Contr.),9537.0,9912.0,10643.0,nan,10233.0,10268.0,10643.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,504.0,504.0,504.0,nan,504.0,504.0,504.0,nan
Total Debt/Equity,8.89,8.83,7.45,nan,8.14,7.19,7.45,nan
Reserve Ratio,1887.44,1965.18,2110.14,nan,2028.73,2035.75,2110.14,nan
Oper.Income Margin,-0.58,7.48,5.91,nan,6.42,3.13,5.15,nan
Net Income Margin,11.9,13.66,21.47,nan,17.46,5.91,41.68,nan
ROA,4.37,5.19,6.59,nan,5.75,1.71,11.25,nan
ROE,4.73,5.65,7.12,nan,6.3,1.84,12.08,nan
EPS(KRW),4466.0,5455.0,7261.0,nan,1582.0,468.0,3132.0,nan
BPS(KRW),99372.0,103259.0,110507.0,nan,106436.0,106787.0,110507.0,nan
DPS(KRW),1500.0,1500.0,1500.0,nan,nan,nan,1500.0,nan
PER,7.24,5.99,5.16,nan,nan,nan,nan,nan
PBR,0.33,0.32,0.34,nan,0.36,0.39,0.34,nan
Issued Shares,10080.0,10080.0,10080.0,nan,10080.0,10080.0,10080.0,nan
Div Yield,4.64,4.59,4.0,nan,nan,nan,4.0,nan
