계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,169958.0,191301.0,181329.0,182694.0,45922.0,38785.0,51998.0,42987.0
Operating Income,11260.0,14363.0,10038.0,12675.0,3367.0,1102.0,2089.0,1985.0
Oper.Income(Rep.),11260.0,14363.0,10038.0,nan,3367.0,1102.0,2089.0,1985.0
Net Income,-5812.0,2721.0,3022.0,5312.0,2163.0,-949.0,-451.0,113.0
Net Income(Contr.),-6964.0,-3883.0,-2262.0,3066.0,206.0,-883.0,-1635.0,236.0
Net Income(Minor.),1152.0,6604.0,5284.0,nan,1957.0,-66.0,1184.0,nan
Total Assets,263154.0,282868.0,301431.0,304788.0,299391.0,290172.0,301431.0,nan
Total Liabilities,160175.0,170801.0,182536.0,183321.0,180006.0,174216.0,182536.0,nan
Total Equity,102978.0,112067.0,118895.0,121467.0,119385.0,115956.0,118895.0,nan
Net Income(Contr.),17907.0,16241.0,14802.0,16347.0,16616.0,15505.0,14802.0,nan
Net Income(Minor.),85071.0,95826.0,104093.0,105120.0,102769.0,100451.0,104093.0,nan
Capital Stock,1237.0,1237.0,1237.0,1239.0,1237.0,1237.0,1237.0,nan
Total Debt/Equity,155.54,152.41,153.53,150.92,150.78,150.24,153.53,nan
Reserve Ratio,1496.72,1362.08,1245.73,nan,1392.37,1302.54,1245.73,nan
Oper.Income Margin,6.63,7.51,5.54,6.94,7.33,2.84,4.02,nan
Net Income Margin,-4.1,-2.03,-1.25,1.68,0.45,-2.28,-3.14,0.26
ROA,-2.22,1.0,1.03,1.75,2.92,-1.29,-0.61,nan
ROE,-36.0,-22.74,-14.57,19.69,5.03,-22.0,-43.15,nan
EPS(KRW),-32522.0,-18133.0,-10562.0,14320.0,963.0,-4124.0,-7633.0,1102.0
BPS(KRW),92268.0,84487.0,77764.0,84980.0,86237.0,81047.0,77764.0,nan
DPS(KRW),2000.0,2000.0,2000.0,2140.0,nan,nan,2000.0,nan
PER,nan,nan,nan,27.44,nan,nan,nan,nan
PBR,0.9,1.11,3.28,4.62,2.52,2.09,3.28,nan
Issued Shares,16524.0,16524.0,16524.0,nan,16524.0,16524.0,16524.0,nan
Div Yield,2.41,2.13,0.78,nan,nan,nan,0.78,nan
