계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,5931.0,5394.0,5237.0,nan,1238.0,1198.0,1442.0,1364.0
Operating Income,-160.0,-10.0,91.0,nan,44.0,-32.0,50.0,28.0
Oper.Income(Rep.),-160.0,-10.0,91.0,nan,44.0,-32.0,50.0,28.0
Net Income,1146.0,97.0,290.0,nan,199.0,15.0,43.0,190.0
Net Income(Contr.),1143.0,78.0,281.0,nan,195.0,14.0,39.0,188.0
Net Income(Minor.),4.0,19.0,9.0,nan,3.0,1.0,4.0,nan
Total Assets,11767.0,10592.0,11158.0,nan,11195.0,11036.0,11158.0,nan
Total Liabilities,2723.0,1785.0,2081.0,nan,2158.0,1995.0,2081.0,nan
Total Equity,9044.0,8807.0,9076.0,nan,9037.0,9041.0,9076.0,nan
Net Income(Contr.),8832.0,8577.0,8839.0,nan,8804.0,8808.0,8839.0,nan
Net Income(Minor.),212.0,230.0,237.0,nan,233.0,233.0,237.0,nan
Capital Stock,120.0,120.0,120.0,nan,120.0,120.0,120.0,nan
Total Debt/Equity,30.11,20.27,22.93,nan,23.88,22.07,22.93,nan
Reserve Ratio,7353.24,7257.8,7441.64,nan,7446.78,7449.85,7441.64,nan
Oper.Income Margin,-2.7,-0.19,1.73,nan,3.57,-2.67,3.46,nan
Net Income Margin,19.27,1.45,5.37,nan,15.79,1.14,2.69,13.89
ROA,10.32,0.87,2.67,nan,7.24,0.52,1.55,nan
ROE,13.8,0.9,3.23,nan,8.98,0.62,1.76,nan
EPS(KRW),4761.0,335.0,1207.0,nan,840.0,59.0,166.0,818.0
BPS(KRW),37266.0,37927.0,38874.0,nan,38901.0,38917.0,38874.0,nan
DPS(KRW),500.0,100.0,200.0,nan,nan,nan,200.0,nan
PER,2.16,26.49,6.28,nan,nan,nan,nan,nan
PBR,0.28,0.23,0.19,nan,0.23,0.21,0.19,nan
Issued Shares,24000.0,23280.0,23280.0,nan,23280.0,23280.0,23280.0,nan
Div Yield,4.85,1.13,2.64,nan,nan,nan,2.64,nan
