계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,8360.0,9352.0,9422.0,9261.0,2144.0,2560.0,2224.0,2377.0
Operating Income,1354.0,1274.0,1236.0,1217.0,321.0,543.0,169.0,262.0
Oper.Income(Rep.),1354.0,1274.0,1236.0,nan,321.0,543.0,169.0,262.0
Net Income,996.0,958.0,502.0,922.0,230.0,439.0,-331.0,208.0
Net Income(Contr.),1036.0,946.0,462.0,886.0,226.0,407.0,-349.0,214.0
Net Income(Minor.),-40.0,12.0,40.0,nan,4.0,31.0,18.0,nan
Total Assets,9047.0,9555.0,8783.0,9797.0,9047.0,8997.0,8783.0,nan
Total Liabilities,4710.0,4640.0,4116.0,4127.0,4357.0,3973.0,4116.0,nan
Total Equity,4337.0,4915.0,4667.0,5670.0,4690.0,5024.0,4667.0,nan
Net Income(Contr.),4207.0,4774.0,4488.0,5463.0,4559.0,4860.0,4488.0,nan
Net Income(Minor.),130.0,140.0,179.0,207.0,130.0,164.0,179.0,nan
Capital Stock,12.0,12.0,12.0,12.0,12.0,12.0,12.0,nan
Total Debt/Equity,108.6,94.41,88.19,72.78,92.91,79.09,88.19,nan
Reserve Ratio,35592.59,40472.86,41134.27,nan,41732.67,44263.95,41134.27,nan
Oper.Income Margin,16.2,13.63,13.12,13.14,14.97,21.23,7.61,nan
Net Income Margin,12.39,10.12,4.9,9.57,10.55,15.91,-15.67,8.76
ROA,12.22,10.3,5.47,9.92,9.81,19.45,-14.89,nan
ROE,27.28,21.07,9.97,17.81,20.11,34.61,-29.83,nan
EPS(KRW),8734.0,8006.0,3991.0,8159.0,1943.0,3550.0,-3041.0,1968.0
BPS(KRW),35693.0,41154.0,42673.0,54457.0,42682.0,45912.0,42673.0,nan
DPS(KRW),2100.0,2000.0,1500.0,1950.0,nan,nan,1500.0,nan
PER,9.11,7.58,10.97,6.47,nan,nan,nan,nan
PBR,2.23,1.47,1.03,0.97,1.32,0.97,1.03,nan
Issued Shares,11862.0,11694.0,11462.0,nan,11626.0,11462.0,11462.0,nan
Div Yield,2.64,3.29,3.42,nan,nan,nan,3.42,nan
