계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1097.0,1205.0,1338.0,1725.0,326.0,330.0,nan,348.0
Operating Income,84.0,105.0,130.0,167.0,40.0,39.0,nan,50.0
Oper.Income(Rep.),84.0,105.0,130.0,nan,40.0,39.0,0.0,50.0
Net Income,80.0,67.0,71.0,126.0,29.0,23.0,nan,61.0
Net Income(Contr.),80.0,67.0,71.0,126.0,29.0,23.0,nan,61.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1502.0,1566.0,1615.0,1774.0,1619.0,1661.0,1615.0,nan
Total Liabilities,541.0,562.0,566.0,618.0,592.0,610.0,566.0,nan
Total Equity,962.0,1004.0,1050.0,1156.0,1027.0,1050.0,1050.0,nan
Net Income(Contr.),962.0,1004.0,1050.0,1156.0,1027.0,1050.0,1050.0,nan
Net Income(Minor.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Capital Stock,89.0,89.0,89.0,89.0,89.0,89.0,89.0,nan
Total Debt/Equity,56.24,55.95,53.9,53.46,57.65,58.12,53.9,nan
Reserve Ratio,983.4,1030.97,1083.16,nan,1057.73,1083.98,1083.16,nan
Oper.Income Margin,7.65,8.68,9.69,9.69,12.34,11.88,nan,nan
Net Income Margin,7.29,5.6,5.28,7.32,8.92,7.05,nan,17.5
ROA,5.53,4.4,4.44,7.45,nan,5.68,0.0,nan
ROE,8.68,6.87,6.89,11.45,nan,8.97,0.0,nan
EPS(KRW),451.0,380.0,398.0,711.0,164.0,131.0,0.0,343.0
BPS(KRW),5417.0,5655.0,5916.0,6516.0,5789.0,5920.0,5916.0,nan
DPS(KRW),100.0,100.0,120.0,100.0,nan,nan,120.0,nan
PER,18.26,21.39,25.26,12.24,nan,nan,nan,nan
PBR,1.52,1.44,1.7,1.34,1.62,1.93,1.7,nan
Issued Shares,17752.0,17752.0,17752.0,nan,17752.0,17752.0,17752.0,nan
Div Yield,1.22,1.23,1.19,nan,nan,nan,1.19,nan
