계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,2379.0,2203.0,2229.0,2361.0,542.0,484.0,597.0,544.0
Operating Income,437.0,187.0,223.0,216.0,38.0,45.0,69.0,21.0
Oper.Income(Rep.),437.0,187.0,223.0,nan,38.0,45.0,69.0,21.0
Net Income,265.0,148.0,211.0,192.0,26.0,12.0,92.0,nan
Net Income(Contr.),265.0,147.0,213.0,193.0,27.0,13.0,92.0,nan
Net Income(Minor.),-1.0,0.0,-2.0,nan,-1.0,-1.0,-0.0,nan
Total Assets,2884.0,2927.0,3229.0,3242.0,3111.0,3194.0,3229.0,nan
Total Liabilities,791.0,770.0,861.0,874.0,850.0,926.0,861.0,nan
Total Equity,2093.0,2156.0,2368.0,2368.0,2261.0,2267.0,2368.0,nan
Net Income(Contr.),2092.0,2156.0,2370.0,2370.0,2261.0,2269.0,2370.0,nan
Net Income(Minor.),1.0,0.0,-2.0,-2.0,-0.0,-2.0,-2.0,nan
Capital Stock,50.0,50.0,50.0,50.0,50.0,50.0,50.0,nan
Total Debt/Equity,37.78,35.72,36.36,36.89,37.61,40.86,36.36,nan
Reserve Ratio,4599.39,4727.56,5154.43,nan,4937.78,4953.37,5154.43,nan
Oper.Income Margin,18.35,8.51,10.02,9.15,6.93,9.35,11.6,nan
Net Income Margin,11.15,6.68,9.55,8.17,4.95,2.66,15.46,nan
ROA,10.0,5.08,6.85,5.92,3.41,1.48,11.5,nan
ROE,13.36,6.93,9.41,8.14,4.79,2.27,15.93,nan
EPS(KRW),2653.0,1471.0,2129.0,1972.0,268.0,129.0,924.0,nan
BPS(KRW),23497.0,24138.0,26272.0,26955.0,25189.0,25267.0,26272.0,nan
DPS(KRW),700.0,350.0,600.0,600.0,nan,nan,600.0,nan
PER,11.36,18.35,9.96,11.76,nan,nan,nan,nan
PBR,1.28,1.12,0.81,0.86,1.11,1.07,0.81,nan
Issued Shares,10002.0,10002.0,10002.0,nan,10002.0,10002.0,10002.0,nan
Div Yield,2.32,1.3,2.83,nan,nan,nan,2.83,nan
