계정,2022/12,2023/12,2024/12,2025/12(E),2024/09,2024/12,2025/03,2025/06(E)
Sales,139.0,251.0,542.0,837.0,168.0,200.0,192.0,193.0
Operating Income,-507.0,-422.0,-677.0,-562.0,-164.0,-185.0,-207.0,-130.0
Oper.Income(Rep.),-507.0,-422.0,-677.0,nan,-164.0,-185.0,-207.0,nan
Net Income,-391.0,-368.0,-824.0,-441.0,-116.0,-734.0,20.0,-124.0
Net Income(Contr.),-391.0,-368.0,-824.0,-441.0,-116.0,-734.0,20.0,-124.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,972.0,2679.0,4350.0,3959.0,4300.0,4350.0,4140.0,nan
Total Liabilities,282.0,328.0,2702.0,1807.0,1970.0,2702.0,2426.0,nan
Total Equity,689.0,2351.0,1649.0,2152.0,2330.0,1649.0,1715.0,nan
Net Income(Contr.),689.0,2351.0,1649.0,2152.0,2330.0,1649.0,1715.0,nan
Net Income(Minor.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Capital Stock,61.0,144.0,145.0,152.0,144.0,145.0,145.0,nan
Total Debt/Equity,40.99,13.96,163.88,83.97,84.55,163.88,141.46,nan
Reserve Ratio,1027.11,1538.26,1039.22,nan,1514.05,1039.22,1082.8,nan
Oper.Income Margin,-365.3,-168.33,-124.9,-67.14,-98.0,-92.28,-107.62,-67.36
Net Income Margin,-282.12,-146.72,-152.13,-52.69,-69.45,-366.45,10.56,-64.25
ROA,-40.96,-20.16,-23.45,-10.61,-10.54,-67.91,1.91,-11.98
ROE,-110.27,-24.21,-41.21,-23.21,-19.59,-147.65,4.82,-28.92
EPS(KRW),-1783.0,-1460.0,-2858.0,-1515.0,-403.0,-2538.0,70.0,-426.0
BPS(KRW),2818.0,8191.0,5696.0,7383.0,8070.0,5696.0,5914.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,5.11,10.0,11.2,6.39,5.33,11.2,8.34,nan
Issued Shares,24455.0,28702.0,28943.0,nan,28873.0,28943.0,28995.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
