계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1041.0,1231.0,1522.0,nan,nan,nan,nan,nan
Operating Income,306.0,340.0,461.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),306.0,340.0,461.0,nan,nan,nan,0.0,nan
Net Income,224.0,302.0,311.0,nan,nan,nan,nan,nan
Net Income(Contr.),224.0,302.0,311.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,857.0,1145.0,2229.0,nan,nan,nan,2229.0,nan
Total Liabilities,322.0,309.0,396.0,nan,nan,nan,396.0,nan
Total Equity,535.0,836.0,1833.0,nan,nan,nan,1833.0,nan
Net Income(Contr.),535.0,836.0,1833.0,nan,nan,nan,1833.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,53.0,53.0,65.0,nan,nan,nan,65.0,nan
Total Debt/Equity,60.14,37.02,21.61,nan,nan,nan,21.61,nan
Reserve Ratio,909.62,1475.9,2822.95,nan,nan,nan,2822.95,nan
Oper.Income Margin,29.36,27.67,30.29,nan,nan,nan,nan,nan
Net Income Margin,21.51,24.57,20.42,nan,nan,nan,nan,nan
ROA,33.95,30.21,18.42,nan,nan,nan,nan,nan
ROE,54.0,44.11,23.29,nan,nan,nan,nan,nan
EPS(KRW),2113.0,2851.0,2712.0,nan,nan,nan,0.0,nan
BPS(KRW),5048.0,7880.0,14615.0,nan,nan,nan,14615.0,nan
DPS(KRW),nan,nan,738.0,nan,nan,nan,738.0,nan
PER,nan,nan,4.33,nan,nan,nan,nan,nan
PBR,nan,nan,0.8,nan,nan,nan,0.8,nan
Issued Shares,10603.0,10603.0,13078.0,nan,nan,nan,13078.0,nan
Div Yield,nan,nan,6.29,nan,nan,nan,6.29,nan
