계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1849.0,1796.0,1836.0,nan,nan,nan,nan,nan
Operating Income,656.0,549.0,523.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),656.0,549.0,523.0,nan,nan,nan,0.0,nan
Net Income,569.0,483.0,462.0,nan,nan,nan,nan,nan
Net Income(Contr.),569.0,483.0,462.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,9135.0,9345.0,12281.0,nan,nan,nan,12281.0,nan
Total Liabilities,1235.0,1153.0,3910.0,nan,nan,nan,3910.0,nan
Total Equity,7899.0,8192.0,8371.0,nan,nan,nan,8371.0,nan
Net Income(Contr.),7899.0,8192.0,8371.0,nan,nan,nan,8371.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,80.0,80.0,80.0,nan,nan,nan,80.0,nan
Total Debt/Equity,15.64,14.07,46.7,nan,nan,nan,46.7,nan
Reserve Ratio,9793.16,10195.26,10548.48,nan,nan,nan,10548.48,nan
Oper.Income Margin,35.48,30.57,28.5,nan,nan,nan,nan,nan
Net Income Margin,30.8,26.87,25.15,nan,nan,nan,nan,nan
ROA,6.45,5.22,4.27,nan,nan,nan,nan,nan
ROE,7.42,6.0,5.58,nan,nan,nan,nan,nan
EPS(KRW),7118.0,6055.0,5803.0,nan,nan,nan,0.0,nan
BPS(KRW),98932.0,102953.0,106485.0,nan,nan,nan,106485.0,nan
DPS(KRW),2200.0,2200.0,2200.0,nan,nan,nan,2200.0,nan
PER,4.5,4.96,4.97,nan,nan,nan,nan,nan
PBR,0.32,0.29,0.27,nan,nan,nan,0.27,nan
Issued Shares,8000.0,7957.0,7957.0,nan,nan,nan,7957.0,nan
Div Yield,6.88,7.32,7.63,nan,nan,nan,7.63,nan
